Region,Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,PlotMix_Climate,SiteDateID,SitePlotID,SiteDatePlotID,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded,ObsSource,PlantSource,PlantSource2,Weedy
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,14,Control,None,None,30,14,14,BORA,BORA,Bouteloua radicosa,Native,Perennial,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,14,Control,None,None,30,14,14,UNGRS1,UNGRS1.SRER,"Unknown grass (SRER); Small tuft grass, bouteloua like growth, heads as nodes, SRER",Native,Unknown,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,15,Seed,Warm,Projected,30,15,15,BORA,BORA,Bouteloua radicosa,Native,Perennial,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,15,Seed,Warm,Projected,30,15,15,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,16,Control,None,None,30,16,16,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,16,Control,None,None,30,16,16,BORA,BORA,Bouteloua radicosa,Native,Perennial,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,16,Control,None,None,30,16,16,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,17,Mulch,Medium,Current,30,17,17,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,17,Mulch,Medium,Current,30,17,17,BOER4,BOER4,Bouteloua eriopoda,Native,Perennial,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,17,Mulch,Medium,Current,30,17,17,UNGRS1,UNGRS1.SRER,"Unknown grass (SRER); Small tuft grass, bouteloua like growth, heads as nodes, SRER",Native,Unknown,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,18,ConMod,Medium,Current,30,18,18,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,18,ConMod,Medium,Current,30,18,18,ANOSPP,ANOSPP.SRER,"Anoda spp., SRER",Native,Annual,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,18,ConMod,Medium,Current,30,18,18,ARISPP,ARISPP.SRER,"Aristida spp., SRER",Native,Unknown,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,18,ConMod,Medium,Current,30,18,18,ARTE3,ARTE3,Aristida ternipes,Native,Perennial,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,18,ConMod,Medium,Current,30,18,18,BORA,BORA,Bouteloua radicosa,Native,Perennial,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,18,ConMod,Medium,Current,30,18,18,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,18,ConMod,Medium,Current,30,18,18,SINE,SINE,Sida neomexicana,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,18,ConMod,Medium,Current,30,18,18,UNGRS1,UNGRS1.SRER,"Unknown grass (SRER); Small tuft grass, bouteloua like growth, heads as nodes, SRER",Native,Unknown,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,19,Mulch,Warm,Projected,30,19,19,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,19,Mulch,Warm,Projected,30,19,19,ARTE3,ARTE3,Aristida ternipes,Native,Perennial,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,19,Mulch,Warm,Projected,30,19,19,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,20,ConMod,Warm,Projected,30,20,20,0,Unkspp.SRER,"Unknown species, SRER",Unknown,Unknown,Unknown,No,2x2,Unknown_recruit,Recruit,Weedy
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,21,Mulch,Medium,Current,30,21,21,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,21,Mulch,Medium,Current,30,21,21,ARISPP,ARISPP.SRER,"Aristida spp., SRER",Native,Unknown,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,21,Mulch,Medium,Current,30,21,21,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,22,ConMod,Medium,Current,30,22,22,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,23,Pits,Warm,Projected,30,23,23,ANOSPP,ANOSPP.SRER,"Anoda spp., SRER",Native,Annual,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,23,Pits,Warm,Projected,30,23,23,UNGR (maybe seeded),UNGR (maybe seeded),"Unknown grass, maybe seeded",Native,Unknown,Grass,No,2x2,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,24,Seed,Medium,Current,30,24,24,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,24,Seed,Medium,Current,30,24,24,ANOSPP,ANOSPP.SRER,"Anoda spp., SRER",Native,Annual,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,24,Seed,Medium,Current,30,24,24,UNFO1,UNFO1.SRER,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, SRER",Unknown,Unknown,Forb,No,subplot,Unknown_recruit,Recruit,Weedy
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,24,Seed,Medium,Current,30,24,24,UNGR (maybe seeded),UNGR (maybe seeded),"Unknown grass, maybe seeded",Native,Unknown,Grass,No,2x2,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,25,ConMod,Warm,Projected,30,25,25,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,25,ConMod,Warm,Projected,30,25,25,ANOSPP,ANOSPP.SRER,"Anoda spp., SRER",Native,Annual,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,25,ConMod,Warm,Projected,30,25,25,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,25,ConMod,Warm,Projected,30,25,25,UNGRS1,UNGRS1.SRER,"Unknown grass (SRER); Small tuft grass, bouteloua like growth, heads as nodes, SRER",Native,Unknown,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,26,Seed,Warm,Projected,30,26,26,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,26,Seed,Warm,Projected,30,26,26,ANOSPP,ANOSPP.SRER,"Anoda spp., SRER",Native,Annual,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,26,Seed,Warm,Projected,30,26,26,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,26,Seed,Warm,Projected,30,26,26,UNGRS1,UNGRS1.SRER,"Unknown grass (SRER); Small tuft grass, bouteloua like growth, heads as nodes, SRER",Native,Unknown,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,27,Pits,Medium,Current,30,27,27,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,27,Pits,Medium,Current,30,27,27,ARISPP,ARISPP.SRER,"Aristida spp., SRER",Native,Unknown,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,27,Pits,Medium,Current,30,27,27,SINE,SINE,Sida neomexicana,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,28,Pits,Warm,Projected,30,28,28,ANOSPP,ANOSPP.SRER,"Anoda spp., SRER",Native,Annual,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,28,Pits,Warm,Projected,30,28,28,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,29,Seed,Medium,Current,30,29,29,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,29,Seed,Medium,Current,30,29,29,ANOSPP,ANOSPP.SRER,"Anoda spp., SRER",Native,Annual,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,29,Seed,Medium,Current,30,29,29,EVAR,EVAR,Evolvulus arizonicus,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,29,Seed,Medium,Current,30,29,29,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,30,Seed,Warm,Projected,30,30,30,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,30,Seed,Warm,Projected,30,30,30,MOCE,MOCE,Mollugo cerviana,Introduced,Annual,Forb,No,subplot,Introduced/Invasive,Introduced/Invasive,Weedy
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,30,Seed,Warm,Projected,30,30,30,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,31,Mulch,Warm,Projected,30,31,31,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,31,Mulch,Warm,Projected,30,31,31,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,31,Mulch,Warm,Projected,30,31,31,UNGR (maybe seeded),UNGR (maybe seeded),"Unknown grass, maybe seeded",Native,Unknown,Grass,No,2x2,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,31,Mulch,Warm,Projected,30,31,31,UNGRS1,UNGRS1.SRER,"Unknown grass (SRER); Small tuft grass, bouteloua like growth, heads as nodes, SRER",Native,Unknown,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,32,Control,None,None,30,32,32,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,32,Control,None,None,30,32,32,ANOSPP,ANOSPP.SRER,"Anoda spp., SRER",Native,Annual,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,32,Control,None,None,30,32,32,ARISPP,ARISPP.SRER,"Aristida spp., SRER",Native,Unknown,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,32,Control,None,None,30,32,32,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,32,Control,None,None,30,32,32,UNGRS1,UNGRS1.SRER,"Unknown grass (SRER); Small tuft grass, bouteloua like growth, heads as nodes, SRER",Native,Unknown,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,33,Mulch,Medium,Current,30,33,33,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,33,Mulch,Medium,Current,30,33,33,ARISPP,ARISPP.SRER,"Aristida spp., SRER",Native,Unknown,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,33,Mulch,Medium,Current,30,33,33,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,34,Seed,Medium,Current,30,34,34,ARISPP,ARISPP.SRER,"Aristida spp., SRER",Native,Unknown,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,34,Seed,Medium,Current,30,34,34,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,35,ConMod,Medium,Current,30,35,35,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,35,ConMod,Medium,Current,30,35,35,ANOSPP,ANOSPP.SRER,"Anoda spp., SRER",Native,Annual,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,35,ConMod,Medium,Current,30,35,35,EVAR,EVAR,Evolvulus arizonicus,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,35,ConMod,Medium,Current,30,35,35,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,35,ConMod,Medium,Current,30,35,35,SINE,SINE,Sida neomexicana,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,36,Pits,Medium,Current,30,36,36,AMCO3,AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,36,Pits,Medium,Current,30,36,36,ANOSPP,ANOSPP.SRER,"Anoda spp., SRER",Native,Annual,Forb,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,SRER,2019-08-09T00:00:00Z,2019-11-07T00:00:00Z,36,Pits,Medium,Current,30,36,36,PACA6,PACA6,Panicum capillare,Native,Annual,Grass,No,subplot,Native_recruit,Native recruit,Desirable
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2019-11-12T00:00:00Z,1,Seed,Warm,Projected,21,37,37,ARPU9,ARPU9,Aristida purpurea,Native,Perennial,Grass,Yes,subplot,Seeded,Seeded,Desirable
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2019-11-12T00:00:00Z,1,Seed,Warm,Projected,21,37,37,BOCU,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,Yes,subplot,Seeded,Seeded,Desirable
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2019-11-12T00:00:00Z,1,Seed,Warm,Projected,21,37,37,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Yes,subplot,Seeded,Seeded,Desirable
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2019-11-12T00:00:00Z,2,ConMod,Warm,Projected,21,38,38,UNFO1A,UNFO1A.Patagonia,"Unknown forb (Patagonia, Nov 2019); Darker Green, 5 petals radiating out, Patagonia",Unknown,Unknown,Forb,No,subplot,Unknown_recruit,Recruit,Weedy
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2019-11-12T00:00:00Z,2,ConMod,Warm,Projected,21,38,38,UNGRS1,UNGRS1.Patagonia,"Unknown grass (Patagonia);Unk. grass seedling, bunchy, possible lovegrass?, Patagonia",Introduced,Perennial,Grass,No,subplot,Introduced/Invasive,Introduced/Invasive,Weedy
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2019-11-12T00:00:00Z,3,Pits,Warm,Projected,21,39,39,ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,Yes,subplot,Seeded,Seeded,Desirable
Sonoran SE,Patagonia,2019-08-09T00:00:00Z,2019-11-12T00:00:00Z,3,Pits,Warm,Projected,21,39,39,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,Yes,subplot,Seeded,Seeded,Desirable
