CodeOriginal,Code,Name,Native,Duration,Lifeform
ERCI6,ERCI6,Erodium cicutarium,Introduced,Annual,Forb
ERCU2,ERCU2,Eragrostis curvula,Introduced,Perennial,Grass
ERCU2/ERLE,ERCU2/ERLE,Eragrostis curvula or lehmanniana,Introduced,Perennial,Grass
ERDI2,ERDI2,Eriastrum diffusum,Native,Annual,Forb
ERER2,ERER2,Eriastrum eremicum,Native,Annual,Forb
ERIAS,ERIAS,Eriastrum,Native,Unknown,Forb
ERLA12,ERLA12,Ericameria laricifolia,Native,Perennial,Shrub
ERLE,ERLE,Eragrostis lehmanniana,Introduced,Perennial,Grass
ERPA11,ERPA11,Eriogonum palmerianum,Native,Annual,Forb
ERPO4,ERPO4,Eriogonum polycladon,Native,Annual,Forb
ERSU,ERSU,Eragrostis superba,Introduced,Perennial,Grass
ESCA2,ESCA2,Eschscholzia californica,Native,Unknown,Forb
EUAB,CHAB2,Chamaesyce abramsiana,Native,Annual,Forb
EUPO3,CHPO12,Chamaesyce polycarpa,Native,Unknown,Forb
EVAR,EVAR,Evolvulus arizonicus,Native,Perennial,Forb
GIST,GIST,Gilia stellata,Native,Annual,Forb
GLGO,GLGO,Glandularia gooddingii,Native,Perennial,Forb
HAPAA,HAPAA,Harpagonella palmeri,Native,Annual,Forb
HEHIC,HEHIC,Herniaria hirsuta,Introduced,Annual,Forb
KAGR,KAGR,Kallstroemia grandiflora,Native,Annual,Forb
LACA7,LACA7,Lasthenia californica,Native,Unknown,Forb
LAGL5,LAGL5,Layia glandulosa,Native,Annual,Forb
LAGR10,LAGR10,Lasthenia gracilis,Native,Annual,Forb
LEAU16,LEAU16,Leptosiphon aureus,Native,Annual,Forb
LELA,LELA,Lepidium lasiocarpum,Native,Annual,Forb
LETH2,LETH2,Lepidium thurberi,Native,Annual,Forb
LIBI2,LIBI2,Linanthus bigelovii,Native,Annual,Forb
LOAR12,LOAR12,Logfia arizonica,Native,Annual,Forb
LOGR4,LOGR4,Lotus greenei,Native,Perennial,Forb
LOHU2,LOHU2,Lotus humistratus,Native,Annual,Forb
LOSQ,LOSQ,Loeflingia squarrosa,Native,Annual,Forb
LOSTT,LOSTT,Lotus strigosus,Native,Annual,Forb
LUCO,LUCO,Lupinus concinnus,Native,Annual,Forb
LUSP2,LUSP2,Lupinus sparsiflorus,Native,Annual,Forb
MAGL3,MAGL3,Malacothrix glabrata,Native,Annual,Forb
MAGR10,MAGR10,Machaeranthera gracilis,Native,Annual,Forb
MAPA5,MAPA5,Malva parviflora,Introduced,Unknown,Forb
MATA2,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb
MEAL6,MEAL6,Mentzelia albicaulis,Native,Annual,Forb
MEIN2,MEIN2,Melilotus indicus,Introduced,Annual,Forb
MOCE,MOCE,Mollugo cerviana,Introduced,Annual,Forb
MONU,MONU,Monolepis nuttalliana,Native,Annual,Forb
MOVE,MOVE,Mollugo verticillata,Native,Annual,Forb
ONPI,ONPI,Oncosiphon piluliferum,Introduced,Annual,Forb
PACA6,PACA6,Panicum capillare,Native,Annual,Grass
PECTO,PECTO,Pectocarya,Native,Annual,Forb
PEHE,PEHE,Pectocarya heterocarpa,Native,Annual,Forb
PEPL,PEPL,Pectocarya platycarpa,Native,Annual,Forb
PERE,PERE,Pectocarya recurvata,Native,Annual,Forb
PHDI,PHDI,Phacelia distans,Native,Unknown,Forb
PLANT,PLANT,Plantago,Unknown,Unknown,Forb
PLAR,PLAR,Plagiobothrys arizonicus,Native,Annual,Forb
PLOV,PLOV,Plantago ovata,Native,Annual,Forb
PLPA2,PLPA2,Plantago patagonica,Native,Annual,Forb
PLPR3,PLPR3,Plagiobothrys pringlei,Native,Annual,Forb
POBI,POBI,Poa bigelovii,Native,Annual,Grass
POOL,POOL,Portulaca oleracea,Unknown,Annual,Forb
POSE,POSE,Poa secunda,Native,Perennial,Grass
POUM,POUM,Portulaca umbraticola,Native,Annual,Forb
PSCA11,PSCA11,Pseudognaphalium canescens,Native,Unknown,Forb
SACO6,SACO6,Salvia columbariae,Native,Annual,Forb
SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb
SCBA,SCBA,Schismus barbatus,Introduced,Annual,Grass
SCPI3,SCPI3,Schkuhria pinnata,Unknown,Annual,Forb
SECO10,SECO10,Senna covesii,Native,Perennial,Forb
SIAB,SIAB,Sida abutifolia,Introduced,Unknown,Forb
SIAN2,SIAN2,Silene antirrhina,Native,Annual,Forb
SIIR,SIIR,Sisymbrium irio,Introduced,Annual,Forb
SINE,SINE,Sida neomexicana,Native,Perennial,Forb
SOOL,SOOL,Sonchus oleraceus,Introduced,Annual,Forb
SORO,SORO,Solanum rostratum,Native,Annual,Forb
SPAMA,SPAMA,Sphaeralcea ambigua,Native,Perennial,Forb
SPCR,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass
SPEC2,SPEC2,Spermolepis echinata,Native,Annual,Forb
STGN,STGN,Stylocline gnaphalioides,Native,Annual,Forb
STMI2,STMI2,Stylocline micropoides,Native,Annual,Forb
TRMU,TRMU,Tridens muticus,Native,Perennial,Grass
TRPI,TRPI,Tradescantia pinetorum,Native,Perennial,Forb
TRTE,TRTE,Tribulus terrestris,Introduced,Annual,Forb
VEPEX2,VEPEX2,Veronica peregrina ssp. xalapensis,Native,Annual,Forb
VUOC,VUOC,Vulpia octoflora,Native,Annual,Grass
