CodeOriginal,Code,Name
CHEN,CHEN.BabbittPJ,"Unknown chenopod, BabbittPJ"
CHEN,CHEN.MOWE,"Unknown chenopod, MOWE"
CHEN,CHEN.TLE,"Unknown chenopod, TLE"
UNDPF,UNDPF.SRER,"Unknown dead pod forb, SRER"
UNDSF,UNDSF.SRER,"Unknown dead spikey forb, SRER"
ERIGSPP,ERIGSPP.UtahPJ,"Unknown ERIG (?), UtahPJ"
Unkfabaceae,Unkfabaceae.Creosote,"Unknown fabaceae, Creosote"
UNFO1,UNFO1.Patagonia,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, Patagonia"
UNFO1,UNFO1.SRER,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, SRER"
UNFO2,UNFO2.Patagonia,"Unknown forb (Patagonia); low to ground, succulenty, tiny white flowers, similar to purslane, Patagonia"
UNFO5,UNFO5.Patagonia,"Unknown forb (Patagonia); Similar to dandelion, yellow closed flowers, Patagonia"
UNFO3,UNFO3.Patagonia,"Unknown forb (Patagonia); upright mustard with small pods and tiny yellow flowers, Patagonia"
UNFO1A,UNFO1A.Patagonia,"Unknown forb (Patagonia, Nov 2019) = Darker Green, 5 petals radiating out, Patagonia"
UNFO5,UNFO5.SRER,"Unknown forb (SRER); Little carrot with tiny white flowers and thin leaves, SRER"
UNFO3,UNFO3.SRER,"Unknown forb (SRER); tiny reddish basal leaves, star-like petals, SRER"
UNFO4,UNFO4.SRER,"Unknown forb (SRER); very hairy radiating out/up, fuzzy rosettes, SRER"
UNFO6,UNFO6.SRER,"Unknown forb (SRER); Very small, long slender leaves, fuzzy, leaf toothed around margins. Possibly Heterotheca grandiflora, SRER"
UNFO1,UNFO1.29_Palms,"Unknown forb 1, 29_Palms"
UNFO1,UNFO1.AguaFria,"Unknown forb 1, AguaFria"
UNFO1,UNFO1.BabbittPJ,"Unknown forb 1, BabbittPJ"
UnkForb1,UnkForb1.Creosote,"Unknown forb 1, Creosote"
UNFO1,UNFO1.FlyingM,"Unknown forb 1, FlyingM"
UNFO1,UNFO1.MOWE,"Unknown forb 1, MOWE"
UNFO1,UNFO1.PEFO,"Unknown forb 1, PEFO"
UNFO10,UNFO10.UtahPJ,"Unknown forb 10, UtahPJ"
UNFO11,UNFO11.UtahPJ,"Unknown forb 11, UtahPJ"
UNFO12,UNFO12.BarTBar,"Unknown forb 12, BarTBar"
UNFO13,UNFO13.BarTBar,"Unknown forb 13, BarTBar"
UNFO14,UNFO14.BarTBar,"Unknown forb 14, BarTBar"
UNFO16,UNFO16.BarTBar,"Unknown forb 16, BarTBar"
UNFO2,UNFO2.29_Palms,"Unknown forb 2, 29_Palms"
UNFO2,UNFO2.AguaFria,"Unknown forb 2, AguaFria"
UNFO2,UNFO2.CRC,"Unknown forb 2, CRC"
UNFO2,UNFO2.FlyingM,"Unknown forb 2, FlyingM"
UNFO2,UNFO2.MOWE,"Unknown forb 2, MOWE"
UNFO2,UNFO2.Spiderweb,"Unknown forb 2, Spiderweb"
UNFO2,UNFO2.TLE,"Unknown forb 2, TLE"
UNFO2,UNFO2.UtahPJ,"Unknown forb 2, UtahPJ"
UNFO2A,UNFO2A.AVRCD,"Unknown forb 2A, AVRCD"
UNFO3,UNFO3.AguaFria,"Unknown forb 3, AguaFria"
UNFO3,UNFO3.BarTBar,"Unknown forb 3, BarTBar"
UNFO3,UNFO3.CRC,"Unknown forb 3, CRC"
UNFO3,UNFO3.FlyingM,"Unknown forb 3, FlyingM"
UNFO3,UNFO3.Spiderweb,"Unknown forb 3, Spiderweb"
UNFO3,UNFO3.UtahPJ,"Unknown forb 3, UtahPJ"
UNFO4,UNFO4.AguaFria,"Unknown forb 4, AguaFria"
UNFO4,UNFO4.BarTBar,"Unknown forb 4, BarTBar"
UNFO4,UNFO4.FlyingM,"Unknown forb 4, FlyingM"
UNFO4,UNFO4.MOWE,"Unknown forb 4, MOWE"
UNFO4,UNFO4.Salt_Desert,"Unknown forb 4, Salt_Desert"
UNFO4,UNFO4.UtahPJ,"Unknown forb 4, UtahPJ"
UNFO5,UNFO5.AguaFria,"Unknown forb 5, AguaFria"
UNFO5,UNFO5.FlyingM,"Unknown forb 5, FlyingM"
UNFO5,UNFO5.MOWE,"Unknown forb 5, MOWE"
UNFO5,UNFO5.Spiderweb,"Unknown forb 5, Spiderweb"
UNFO5,UNFO5.UtahPJ,"Unknown forb 5, UtahPJ"
UNFO6,UNFO6.AguaFria,"Unknown forb 6, AguaFria"
UNFO6,UNFO6.FlyingM,"Unknown forb 6, FlyingM"
UNFO6,UNFO6.Spiderweb,"Unknown forb 6, Spiderweb"
UNFO6,UNFO6.UtahPJ,"Unknown forb 6, UtahPJ"
UNFO7,UNFO7.AguaFria,"Unknown forb 7, AguaFria"
UNFO7,UNFO7.BarTBar,"Unknown forb 7, BarTBar"
UNFO7,UNFO7.FlyingM,"Unknown forb 7, FlyingM"
UNFO7,UNFO7.Spiderweb,"Unknown forb 7, Spiderweb"
UNFO7,UNFO7.UtahPJ,"Unknown forb 7, UtahPJ"
UNFO8,UNFO8.AguaFria,"Unknown forb 8, AguaFria"
UNFO8,UNFO8.BarTBar,"Unknown forb 8, BarTBar"
UNFO8,UNFO8.Spiderweb,"Unknown forb 8, Spiderweb"
UNFO8,UNFO8.UtahPJ,"Unknown forb 8, UtahPJ"
UNFO9,UNFO9.BarTBar,"Unknown forb 9, BarTBar"
UNFO9,UNFO9.UtahPJ,"Unknown forb 9, UtahPJ"
UNFS,UNFS.Patagonia,"Unknown forb seedling, Patagonia"
Unk heart,Unk heart.Preserve,"Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there), Preserve"
UNK heart,UNK heart.Preserve,"Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there), Preserve"
Unkforb,Unkforb.Creosote,"Unknown forb, Creosote"
Unkforb1,Unkforb1.Creosote,"Unknown forb, Creosote"
UNFO,UNFO.FlyingM,"Unknown forb, FlyingM"
Unkforb,Unkforb.Mesquite,"Unknown forb, Mesquite"
UnkForb,UnkForb.Mesquite,"Unknown forb, Mesquite"
UNFO,UNFO.Spiderweb,"Unknown forb, Spiderweb"
