Region,Site,SiteDateID,Date_Seeded,Date_Monitored,Since_last_precip,Seed_estimate,Monitor_estimate,ppt_mm,Perc_deviation,Deviation_mm
Colorado Plateau,BarTBar,44,2018-07-25T00:00:00Z,2018-11-26T00:00:00Z,0,2018-08-01T00:00:00Z,2018-11-30T00:00:00Z,9.33,-1,9.33
Colorado Plateau,BarTBar,45,2018-07-25T00:00:00Z,2018-12-11T00:00:00Z,11.28,2018-08-01T00:00:00Z,2018-12-15T00:00:00Z,12.135,-0.07045735475896171,0.8550000000000004
Colorado Plateau,BarTBar,46,2018-07-25T00:00:00Z,2019-04-16T00:00:00Z,114.37,2018-08-01T00:00:00Z,2019-04-15T00:00:00Z,94.35,0.2121886592474829,-20.02000000000001
Colorado Plateau,BarTBar,47,2018-07-25T00:00:00Z,2019-06-13T00:00:00Z,20.47,2018-08-01T00:00:00Z,2019-06-15T00:00:00Z,19.155,0.06865048290263627,-1.3149999999999977
Colorado Plateau,BarTBar,48,2018-07-25T00:00:00Z,2020-07-15T00:00:00Z,260.67,2018-08-01T00:00:00Z,2020-07-15T00:00:00Z,327.24,-0.2034286762009534,66.57
Colorado Plateau,BarTBar,49,2020-07-20T00:00:00Z,2020-10-07T00:00:00Z,18.52,2020-07-15T00:00:00Z,2020-09-30T00:00:00Z,108.52,-0.8293402137854774,90
Colorado Plateau,BarTBar,50,2020-07-20T00:00:00Z,2021-05-19T00:00:00Z,60.37,2020-07-15T00:00:00Z,2021-05-15T00:00:00Z,160.35999999999999,-0.6235345472686454,99.98999999999998
Colorado Plateau,BarTBar,51,2020-07-20T00:00:00Z,2022-04-19T00:00:00Z,272.45,2020-07-15T00:00:00Z,2022-04-15T00:00:00Z,290.925,-0.06350433960642785,18.475000000000023
Colorado Plateau,FlyingM,52,2018-07-18T00:00:00Z,2018-08-03T00:00:00Z,29.19,2018-07-15T00:00:00Z,2018-07-31T00:00:00Z,24.455,0.19362093641382144,-4.735000000000003
Colorado Plateau,FlyingM,53,2018-07-18T00:00:00Z,2018-08-16T00:00:00Z,26.37,2018-07-15T00:00:00Z,2018-08-15T00:00:00Z,30.45,-0.1339901477832512,4.079999999999998
Colorado Plateau,FlyingM,54,2018-07-18T00:00:00Z,2018-08-30T00:00:00Z,41.42,2018-07-15T00:00:00Z,2018-08-31T00:00:00Z,30.45,0.36026272577996726,-10.970000000000002
Colorado Plateau,FlyingM,55,2018-07-18T00:00:00Z,2018-09-13T00:00:00Z,11.74,2018-07-15T00:00:00Z,2018-09-15T00:00:00Z,19.435,-0.3959351685104193,7.6949999999999985
Colorado Plateau,FlyingM,56,2018-07-18T00:00:00Z,2018-10-19T00:00:00Z,71.92,2018-07-15T00:00:00Z,2018-10-15T00:00:00Z,32.835,1.1903456677326023,-39.085
Colorado Plateau,FlyingM,57,2018-07-18T00:00:00Z,2018-11-07T00:00:00Z,8.8,2018-07-15T00:00:00Z,2018-10-31T00:00:00Z,13.4,-0.34328358208955223,4.6
Colorado Plateau,FlyingM,58,2018-07-18T00:00:00Z,2018-11-21T00:00:00Z,0,2018-07-15T00:00:00Z,2018-11-30T00:00:00Z,22.78,-1,22.78
Colorado Plateau,FlyingM,59,2018-07-18T00:00:00Z,2018-12-07T00:00:00Z,13.5,2018-07-15T00:00:00Z,2018-11-30T00:00:00Z,0,Inf,-13.5
Colorado Plateau,FlyingM,60,2018-07-18T00:00:00Z,2019-04-24T00:00:00Z,134.36,2018-07-15T00:00:00Z,2019-04-30T00:00:00Z,139.92000000000002,-0.03973699256718126,5.560000000000002
Colorado Plateau,FlyingM,61,2018-07-18T00:00:00Z,2019-06-12T00:00:00Z,33.33,2018-07-15T00:00:00Z,2019-06-15T00:00:00Z,15.045,1.2153539381854435,-18.284999999999997
Colorado Plateau,FlyingM,62,2018-07-18T00:00:00Z,2020-07-15T00:00:00Z,319.13,2018-07-15T00:00:00Z,2020-07-15T00:00:00Z,384.06,-0.16906212570952456,64.93
Colorado Plateau,FlyingM,63,2020-07-17T00:00:00Z,2020-10-07T00:00:00Z,32.54,2020-07-15T00:00:00Z,2020-09-30T00:00:00Z,124.225,-0.7380559468705977,91.685
Colorado Plateau,FlyingM,64,2020-07-17T00:00:00Z,2021-05-19T00:00:00Z,89.18,2020-07-15T00:00:00Z,2021-05-15T00:00:00Z,195.425,-0.5436612511193553,106.245
Colorado Plateau,FlyingM,65,2020-07-17T00:00:00Z,2021-10-21T00:00:00Z,252.36,2020-07-15T00:00:00Z,2021-10-31T00:00:00Z,187.795,0.34380574562688054,-64.56500000000003
Colorado Plateau,FlyingM,66,2020-07-17T00:00:00Z,2022-04-19T00:00:00Z,111.51,2020-07-15T00:00:00Z,2022-04-15T00:00:00Z,155.84,-0.2844584188911704,44.33
Colorado Plateau,MOWE,67,2018-08-30T00:00:00Z,2018-09-14T00:00:00Z,3.75,2018-09-01T00:00:00Z,2018-09-15T00:00:00Z,19.12,-0.8038702928870293,15.370000000000001
Colorado Plateau,MOWE,68,2018-08-30T00:00:00Z,2018-09-27T00:00:00Z,3.23,2018-09-01T00:00:00Z,2018-09-30T00:00:00Z,19.12,-0.8310669456066946,15.89
Colorado Plateau,MOWE,69,2018-08-30T00:00:00Z,2018-10-15T00:00:00Z,101.91,2018-09-01T00:00:00Z,2018-10-15T00:00:00Z,13.895,6.334292911119108,-88.015
Colorado Plateau,MOWE,70,2018-08-30T00:00:00Z,2018-10-31T00:00:00Z,6.32,2018-09-01T00:00:00Z,2018-10-31T00:00:00Z,13.895,-0.5451601295430011,7.574999999999999
Colorado Plateau,MOWE,71,2018-08-30T00:00:00Z,2018-11-14T00:00:00Z,0.47,2018-09-01T00:00:00Z,2018-11-15T00:00:00Z,11.415,-0.958826106000876,10.944999999999999
Colorado Plateau,MOWE,72,2018-08-30T00:00:00Z,2018-11-29T00:00:00Z,0,2018-09-01T00:00:00Z,2018-11-30T00:00:00Z,11.415,-1,11.415
Colorado Plateau,MOWE,73,2018-08-30T00:00:00Z,2018-12-10T00:00:00Z,14.37,2018-09-01T00:00:00Z,2018-11-30T00:00:00Z,0,Inf,-14.37
Colorado Plateau,MOWE,74,2018-08-30T00:00:00Z,2019-03-27T00:00:00Z,159.89,2018-09-01T00:00:00Z,2019-03-31T00:00:00Z,148.19,0.0789526958634185,-11.699999999999989
Colorado Plateau,MOWE,75,2018-08-30T00:00:00Z,2019-06-11T00:00:00Z,24.49,2018-09-01T00:00:00Z,2019-06-15T00:00:00Z,27.78,-0.11843052555795545,3.2900000000000027
Colorado Plateau,MOWE,76,2018-08-30T00:00:00Z,2020-07-22T00:00:00Z,440.26,2018-09-01T00:00:00Z,2020-07-31T00:00:00Z,419.59000000000003,0.04926237517576672,-20.66999999999996
Colorado Plateau,MOWE,77,2020-07-22T00:00:00Z,2020-09-14T00:00:00Z,19.54,2020-08-01T00:00:00Z,2020-09-15T00:00:00Z,76.67,-0.7451415155862788,57.13
Colorado Plateau,MOWE,78,2020-07-22T00:00:00Z,2021-05-27T00:00:00Z,108.83,2020-08-01T00:00:00Z,2021-05-31T00:00:00Z,243.94,-0.5538657046814791,135.11
Colorado Plateau,MOWE,79,2020-07-22T00:00:00Z,2022-04-18T00:00:00Z,411.06,2020-08-01T00:00:00Z,2022-04-15T00:00:00Z,352.59,0.16583000085084668,-58.47000000000003
Colorado Plateau,PEFO,80,2018-08-15T00:00:00Z,2018-08-28T00:00:00Z,14.86,2018-08-15T00:00:00Z,2018-08-31T00:00:00Z,19.505,-0.2381440656241989,4.645
Colorado Plateau,PEFO,81,2018-08-15T00:00:00Z,2018-09-11T00:00:00Z,15.81,2018-08-15T00:00:00Z,2018-09-15T00:00:00Z,13.085,0.20825372564004582,-2.7249999999999996
Colorado Plateau,PEFO,82,2018-08-15T00:00:00Z,2018-09-25T00:00:00Z,2.99,2018-08-15T00:00:00Z,2018-09-30T00:00:00Z,13.085,-0.7714940771876194,10.095
Colorado Plateau,PEFO,83,2018-08-15T00:00:00Z,2018-10-11T00:00:00Z,49,2018-08-15T00:00:00Z,2018-10-15T00:00:00Z,11.025,3.4444444444444446,-37.975
Colorado Plateau,PEFO,84,2018-08-15T00:00:00Z,2018-10-25T00:00:00Z,33.76,2018-08-15T00:00:00Z,2018-10-31T00:00:00Z,11.025,2.0621315192743763,-22.735
Colorado Plateau,PEFO,85,2018-08-15T00:00:00Z,2018-11-06T00:00:00Z,4.24,2018-08-15T00:00:00Z,2018-10-31T00:00:00Z,0,Inf,-4.24
Colorado Plateau,PEFO,86,2018-08-15T00:00:00Z,2018-11-20T00:00:00Z,0,2018-08-15T00:00:00Z,2018-11-15T00:00:00Z,8.045,-1,8.045
Colorado Plateau,PEFO,87,2018-08-15T00:00:00Z,2018-12-06T00:00:00Z,2.41,2018-08-15T00:00:00Z,2018-11-30T00:00:00Z,8.045,-0.7004350528278434,5.635
Colorado Plateau,PEFO,88,2018-08-15T00:00:00Z,2019-04-08T00:00:00Z,99.31,2018-08-15T00:00:00Z,2019-03-31T00:00:00Z,69.01,0.4390668019127662,-30.299999999999997
Colorado Plateau,PEFO,89,2018-08-15T00:00:00Z,2019-06-18T00:00:00Z,23.51,2018-08-15T00:00:00Z,2019-06-15T00:00:00Z,23.39,0.005130397605814493,-0.120000000000001
Colorado Plateau,PEFO,90,2018-08-15T00:00:00Z,2020-07-23T00:00:00Z,245.4,2018-08-15T00:00:00Z,2020-07-31T00:00:00Z,275.79,-0.11019253780050042,30.390000000000015
Colorado Plateau,PEFO,91,2020-07-23T00:00:00Z,2020-10-07T00:00:00Z,18.48,2020-08-01T00:00:00Z,2020-09-30T00:00:00Z,65.18,-0.7164774470696532,46.7
Colorado Plateau,PEFO,92,2020-07-23T00:00:00Z,2021-06-11T00:00:00Z,70.31,2020-08-01T00:00:00Z,2021-06-15T00:00:00Z,130.54,-0.4613911444767887,60.22999999999999
Colorado Plateau,PEFO,93,2020-07-23T00:00:00Z,2022-04-12T00:00:00Z,235.89,2020-08-01T00:00:00Z,2022-04-15T00:00:00Z,217.385,0.0851254686385905,-18.504999999999995
Colorado Plateau,Spiderweb,94,2018-08-01T00:00:00Z,2018-08-16T00:00:00Z,13.02,2018-08-01T00:00:00Z,2018-08-15T00:00:00Z,15.37,-0.15289525048796354,2.3499999999999996
Colorado Plateau,Spiderweb,95,2018-08-01T00:00:00Z,2018-08-29T00:00:00Z,23.380000000000003,2018-08-01T00:00:00Z,2018-08-31T00:00:00Z,15.37,0.521145087833442,-8.010000000000003
Colorado Plateau,Spiderweb,96,2018-08-01T00:00:00Z,2018-09-10T00:00:00Z,5.47,2018-08-01T00:00:00Z,2018-08-31T00:00:00Z,0,Inf,-5.47
Colorado Plateau,Spiderweb,97,2018-08-01T00:00:00Z,2018-09-28T00:00:00Z,8.219999999999999,2018-08-01T00:00:00Z,2018-09-30T00:00:00Z,24.86,-0.66934835076428,16.64
Colorado Plateau,Spiderweb,98,2018-08-01T00:00:00Z,2018-10-12T00:00:00Z,33.86,2018-08-01T00:00:00Z,2018-10-15T00:00:00Z,10.06,2.3658051689860833,-23.799999999999997
Colorado Plateau,Spiderweb,99,2018-08-01T00:00:00Z,2018-11-08T00:00:00Z,35.669999999999995,2018-08-01T00:00:00Z,2018-10-31T00:00:00Z,10.06,2.5457256461232594,-25.609999999999992
Colorado Plateau,Spiderweb,100,2018-08-01T00:00:00Z,2018-11-27T00:00:00Z,0,2018-08-01T00:00:00Z,2018-11-30T00:00:00Z,8.15,-1,8.15
Colorado Plateau,Spiderweb,101,2018-08-01T00:00:00Z,2019-04-01T00:00:00Z,145.81,2018-08-01T00:00:00Z,2019-03-31T00:00:00Z,55.46,1.629102055535521,-90.35
Colorado Plateau,Spiderweb,102,2018-08-01T00:00:00Z,2019-06-10T00:00:00Z,20.4,2018-08-01T00:00:00Z,2019-05-31T00:00:00Z,20.79,-0.018759018759018788,0.39000000000000057
Colorado Plateau,Spiderweb,103,2018-08-01T00:00:00Z,2020-07-14T00:00:00Z,161.29,2018-08-01T00:00:00Z,2020-07-15T00:00:00Z,212.49,-0.24095251541249008,51.20000000000002
Colorado Plateau,Spiderweb,104,2020-07-21T00:00:00Z,2020-09-22T00:00:00Z,0.78,2020-08-01T00:00:00Z,2020-09-30T00:00:00Z,69.73,-0.9888139968449735,68.95
Colorado Plateau,Spiderweb,105,2020-07-21T00:00:00Z,2021-06-08T00:00:00Z,113.98,2020-08-01T00:00:00Z,2021-05-31T00:00:00Z,104.52,0.0905089934940682,-9.460000000000008
Colorado Plateau,Spiderweb,106,2020-07-21T00:00:00Z,2021-09-29T00:00:00Z,96.95,2020-08-01T00:00:00Z,2021-09-30T00:00:00Z,88.85,0.0911648846370288,-8.100000000000009
Colorado Plateau,Spiderweb,107,2020-07-21T00:00:00Z,2022-04-25T00:00:00Z,108.53,2020-08-01T00:00:00Z,2022-04-30T00:00:00Z,95.6,0.13525104602510468,-12.930000000000007
