Code,n,perc_freq,Frequency,Plant,Plot,Sites,Type
CHWA,3,0.0859106529209622,8.59106529209622e-4,Native recruit,total,NA,"Native recruit, total"
CRYSPP.BarTBar,3,0.0859106529209622,8.59106529209622e-4,Native recruit,total,NA,"Native recruit, total"
DRCU,3,0.0859106529209622,8.59106529209622e-4,Native recruit,total,NA,"Native recruit, total"
HEBO,3,0.0859106529209622,8.59106529209622e-4,Native recruit,total,NA,"Native recruit, total"
LUSP.AguaFria,3,0.0859106529209622,8.59106529209622e-4,Native recruit,total,NA,"Native recruit, total"
PORSPP.FlyingM,3,0.0859106529209622,8.59106529209622e-4,Native recruit,total,NA,"Native recruit, total"
SUNGR.BabbittPJ,3,0.0859106529209622,8.59106529209622e-4,Native recruit,total,NA,"Native recruit, total"
ATSP.TLE,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
AmaranthusSpp.FlyingM,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
BOBAB3,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
BOSPP.AguaFria,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
BOSPP.BabbittPJ,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
BOSPP.MOWE,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
CLLU2,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
DICA14,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
ERISP.BarTBar,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
HECO26,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
HYVE,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
MATA2,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
SOSP.FlyingM,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
SPOspp.Spiderweb,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
UNGR2.AguaFria,2,0.057273768613974804,5.72737686139748e-4,Native recruit,total,NA,"Native recruit, total"
ASTU,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
ATSP.FlyingM,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
ATSP.PEFO,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
CHEN.TLE,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
COEQ,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
Cymopterus,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
ELSP.BabbittPJ,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
ELSPP.BabbittPJ,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
ELSPP.PEFO,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
ELSPse.BabbittPJ,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
ERTR8,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
GILSPP.Spiderweb,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
HOIN2,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
LUSPP.PEFO,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
MEAL6,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
MENSPP.PEFO,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
PEPA8,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
SPSP.AguaFria,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
SPSP.MOWE,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
SUNFO.Spiderweb,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
SUNGR.MOWE,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
SUNGR.TLE,1,0.028636884306987402,2.86368843069874e-4,Native recruit,total,NA,"Native recruit, total"
HESP.BabbittPJ,313,14.253187613843352,0.14253187613843352,Native recruit,wetter,NA,"Native recruit, wetter"
SPSP.BarTBar,300,13.661202185792352,0.1366120218579235,Native recruit,wetter,NA,"Native recruit, wetter"
ATCO,281,12.7959927140255,0.127959927140255,Native recruit,wetter,NA,"Native recruit, wetter"
CHAL11,207,9.426229508196721,0.0942622950819672,Native recruit,wetter,NA,"Native recruit, wetter"
SCMU6,151,6.876138433515483,0.06876138433515483,Native recruit,wetter,NA,"Native recruit, wetter"
LEPA6,137,6.238615664845173,0.06238615664845173,Native recruit,wetter,NA,"Native recruit, wetter"
SAAB,133,6.056466302367942,0.06056466302367942,Native recruit,wetter,NA,"Native recruit, wetter"
SOEL,121,5.510018214936248,0.05510018214936248,Native recruit,wetter,NA,"Native recruit, wetter"
DEPI,93,4.2349726775956285,0.04234972677595628,Native recruit,wetter,NA,"Native recruit, wetter"
LILE3,70,3.1876138433515484,0.031876138433515486,Native recruit,wetter,NA,"Native recruit, wetter"
CHCO2,69,3.1420765027322406,0.031420765027322405,Native recruit,wetter,NA,"Native recruit, wetter"
CHEN.BabbittPJ,68,3.096539162112933,0.030965391621129327,Native recruit,wetter,NA,"Native recruit, wetter"
UNFO9.BarTBar,59,2.686703096539162,0.02686703096539162,Native recruit,wetter,NA,"Native recruit, wetter"
UNGR3.AguaFria,56,2.5500910746812386,0.025500910746812388,Native recruit,wetter,NA,"Native recruit, wetter"
ATCA2,54,2.459016393442623,0.02459016393442623,Native recruit,wetter,NA,"Native recruit, wetter"
UNGR3.PEFO,52,2.3679417122040074,0.023679417122040074,Native recruit,wetter,NA,"Native recruit, wetter"
CRCR3,51,2.3224043715846996,0.023224043715846996,Native recruit,wetter,NA,"Native recruit, wetter"
PHSPP.BabbittPJ,50,2.2768670309653913,0.022768670309653915,Native recruit,wetter,NA,"Native recruit, wetter"
CHEN.PEFO,46,2.0947176684881605,0.020947176684881604,Native recruit,wetter,NA,"Native recruit, wetter"
SARE3,46,2.0947176684881605,0.020947176684881604,Native recruit,wetter,NA,"Native recruit, wetter"
PORSPP.BarTBar,45,2.0491803278688523,0.020491803278688523,Native recruit,wetter,NA,"Native recruit, wetter"
MEMO4,43,1.9581056466302367,0.019581056466302368,Native recruit,wetter,NA,"Native recruit, wetter"
BOSPP.BarTBar,42,1.912568306010929,0.01912568306010929,Native recruit,wetter,NA,"Native recruit, wetter"
BOSPP.FlyingM,41,1.8670309653916213,0.018670309653916212,Native recruit,wetter,NA,"Native recruit, wetter"
PLPA2,40,1.8214936247723135,0.018214936247723135,Native recruit,wetter,NA,"Native recruit, wetter"
ARSPP.BarTBar,38,1.7304189435336976,0.017304189435336976,Native recruit,wetter,NA,"Native recruit, wetter"
SPSP.FlyingM,38,1.7304189435336976,0.017304189435336976,Native recruit,wetter,NA,"Native recruit, wetter"
COAU2,35,1.5938069216757742,0.015938069216757743,Native recruit,wetter,NA,"Native recruit, wetter"
DAPU7,35,1.5938069216757742,0.015938069216757743,Native recruit,wetter,NA,"Native recruit, wetter"
TOIN,35,1.5938069216757742,0.015938069216757743,Native recruit,wetter,NA,"Native recruit, wetter"
HOPU,31,1.411657559198543,0.01411657559198543,Native recruit,wetter,NA,"Native recruit, wetter"
MAGR10,31,1.411657559198543,0.01411657559198543,Native recruit,wetter,NA,"Native recruit, wetter"
