CodeOriginal,Name,Native,Duration,Lifeform
BOCO,Boerhavia coccinea,Native,Perennial,Forb
BOCU,Bouteloua curtipendula,Native,Perennial,Grass
BOER,Bouteloua eriopoda,Native,Perennial,Grass
BOER4,Bouteloua eriopoda,Native,Perennial,Grass
BOERH2,Boerhavia,Native,Unknown,Forb
BOGR2,Bouteloua gracilis,Native,Perennial,Grass
BOIN,Boerhavia intermedia,Native,Annual,Forb
BOIN3,Bowlesia incana,Native,Annual,Forb
BORA,Bouteloua radicosa,Native,Perennial,Grass
BORO2,Bouteloua rothrockii,Native,Perennial,Grass
BOSI2,Bouteloua simplex,Native,Annual,Grass
BRDI3,Bromus diandrus,Introduced,Unknown,Grass
BRNI,Brassica nigra,Introduced,Annual,Forb
BRRU2,Bromus rubens,Introduced,Annual,Grass
BRTE,Bromus tectorum,Introduced,Annual,Grass
CACI2,Calandrinia ciliata,Native,Annual,Forb
CACLL,Camissonia claviformis,Native,Annual,Forb
CAEXE,Castilleja exserta,Native,Annual,Forb
CANU3,Calochortus nuttallii,Native,Perennial,Forb
CEME2,Centaurea melitensis,Introduced,Annual,Forb
CETE5,Ceratocephala testiculata,Introduced,Annual,Forb
CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb
CHBR,Chorizanthe brevicornu,Native,Annual,Forb
CHCO2,Chamaesaracha coronopus,Native,Perennial,Forb
CHER2,Chaetopappa ericoides,Native,Perennial,Forb
CHFR3,Chenopodium fremontii,Native,Annual,Forb
CHHY3,Chamaesyce hyssopifolia,Native,Unknown,Forb
CHIN2,Chenopodium incanum,Native,Annual,Forb
CHPO12,Chamaesyce polycarpa,Native,Unknown,Forb
CHTE2,Chorispora tenella,Introduced,Annual,Forb
CHVI4,Chloris virgata,Native,Annual,Grass
CHWA,Chenopodium watsonii,Native,Annual,Forb
CLLU2,Cleome lutea,Native,Annual,Forb
COAU2,Corydalis aurea,Native,Annual,Forb
COCA5,Conyza canadensis,Native,Annual,Forb
COCA8,Coreopsis califonica,Native,Annual,Forb
COEQ,Convolvulus equitans,Native,Unknown,Forb
CRAN4,Cryptantha angustifolia,Native,Annual,Forb
CRBA5,Cryptantha barbigera,Native,Annual,Forb
CRCO34,Crassula connata,Native,Annual,Forb
CRCR3,Cryptantha crassisepala,Native,Annual,Forb
CRPO5,Croton pottsii,Native,Perennial,Forb
CRSE11,Croton setigerus,Native,Annual,Forb
CYAC,Cymopterus acaulis,Native,Perennial,Forb
DACA7,Dalea candida,Native,Perennial,Forb
DAPU3,Daucus pusillus,Native,Annual,Forb
DAPU7,Dasyochloa pulchella,Native,Perennial,Grass
DEPI,Descurainia pinnata,Native,Unknown,Forb
DESO2,Descurainia sophia,Introduced,Annual,Forb
DICA14,Dichelostemma capitatum,Native,Perennial,Forb
DICA8,Digitaria californica,Native,Perennial,Grass
DRCU,Draba cuneifolia,Native,Annual,Forb
DRCUI,Draba cuneifolia,Native,Annual,Forb
ELEL5,Elymus elymoides,Native,Perennial,Grass
ELTR7,Elymus trachycaulus,Native,Perennial,Grass
ELWA2,Elymus wawawaiensis,Native,Perennial,Grass
ENDE,Enneapogon desvauxii,Native,Perennial,Grass
ENFA,Encelia farinosa,Native,Perennial,Shrub
ERAB2,Eriogonum abertianum,Native,Annual,Forb
ERCI,Eragrostis cilianensis,Introduced,Annual,Grass
ERCI,Eragrostis ciliaris,Introduced,Annual,Grass
ERCI6,Erodium cicutarium,Introduced,Annual,Forb
ERCU2,Eragrostis curvula,Introduced,Perennial,Grass
ERER2,Eriastrum eremicum,Native,Annual,Forb
ERFA2,Eriogonum fasciculatum,Native,Perennial,Forb
ERIAS,Eriastrum,Native,Unknown,Forb
ERIN4,Eriogonum inflatum,Native,Unknown,Forb
ERLA12,Ericameria laricifolia,Native,Perennial,Shrub
ERLE,Eragrostis lehmanniana,Introduced,Perennial,Grass
ERPA11,Eriogonum palmerianum,Native,Annual,Forb
ERPO4,Eriogonum polycladon,Native,Annual,Forb
ERRA3,Eriogonum racemosum,Native,Perennial,Forb
ERSU,Eragrostis superba,Introduced,Perennial,Grass
ERTR8,Eriogonum trichopes,Native,Annual,Forb
ERVE5,Eruca vesicaria,Introduced,Annual,Forb
ESCA2,Eschscholzia californica,Native,Unknown,Forb
ESCAM,Eschscholzia californica,Native,Unknown,Forb
EUAB,Chamaesyce abramsiana,Native,Annual,Forb
EUME3,Chamaesyce melanadenia,Native,Perennial,Forb
EUPO3,Chamaesyce polycarpa,Native,Unknown,Forb
EVAR,Evolvulus arizonicus,Native,Perennial,Forb
GIST,Gilia stellata,Native,Annual,Forb
GLGO,Glandularia gooddingii,Native,Perennial,Forb
GNPA,Gnaphalium palustre,Native,Annual,Forb
GUSA2,Gutierrezia sarothrae,Native,Perennial,Shrub
HAGL,Halogeton glomeratus,Introduced,Annual,Forb
HAPAA,Harpagonella palmeri,Native,Annual,Forb
HEBO,Hedysarum boreale,Native,Perennial,Forb
HECI,Helianthus ciliaris,Native,Perennial,Forb
HECO26,Hesperostipa comata,Native,Perennial,Grass
HEHIC,Herniaria hirsuta,Introduced,Annual,Forb
HEMU3,Heliomeris multiflora,Native,Perennial,Forb
HIIN3,Hirschfeldia incana,Introduced,Unknown,Forb
HOGL2,Hoffmannseggia glauca,Native,Perennial,Forb
HOMU,Hordeum murinum,Introduced,Annual,Grass
HOPU,Hordeum pusillum,Native,Annual,Grass
IPLO2,Ipomopsis longiflora,Native,Annual,Forb
KAGR,Kallstroemia grandiflora,Native,Annual,Forb
KAHI,Kallstroemia hirsutissima,Native,Annual,Forb
KRLA2,Krascheninnikovia lanata,Native,Perennial,Shrub
LACA7,Lasthenia californica,Native,Unknown,Forb
LAGL5,Layia glandulosa,Native,Annual,Forb
LAGR10,Lasthenia gracilis,Native,Annual,Forb
LATR2,Larrea tridentata,Native,Perennial,Shrub
LEAU16,Leptosiphon aureus,Native,Annual,Forb
LECI4,Leymus cinereus,Native,Perennial,Grass
LEFR2,Lepidium fremontii,Native,Perennial,Shrub
LELA,Lepidium lasiocarpum,Native,Annual,Forb
LEPA6,Leptochloa panicea,Native,Unknown,Grass
LETH2,Lepidium thurberi,Native,Annual,Forb
LIBI2,Linanthus bigelovii,Native,Annual,Forb
LILE3,Linum lewisii,Native,Perennial,Forb
LOAR12,Logfia arizonica,Native,Annual,Forb
LOESE2,Loeseliastrum franciscanum,Native,Annual,Forb
LOHU2,Lotus humistratus,Native,Annual,Forb
LOSA,Lotus salsuginosus,Native,Annual,Forb
LOSQ,Loeflingia squarrosa,Native,Annual,Forb
LOSTT,Lotus strigosus,Native,Annual,Forb
LUCO,Lupinus concinnus,Native,Annual,Forb
LUSP2,Lupinus sparsiflorus,Native,Annual,Forb
MADI6,Matricaria discoidea,Introduced,Annual,Forb
MAGL3,Malacothrix glabrata,Native,Annual,Forb
MAGR10,Machaeranthera gracilis,Native,Annual,Forb
MAPA5,Malva parviflora,Introduced,Unknown,Forb
MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb
MEAL6,Mentzelia albicaulis,Native,Annual,Forb
MEIN2,Melilotus indicus,Introduced,Annual,Forb
MEMO4,Mentzelia montana,Native,Annual,Forb
MEOF,Melilotus officinalis,Introduced,Unknown,Forb
MIGR,Microsteris gracilis,Native,Annual,Forb
MILA6,Mirabilis laevis,Native,Perennial,Forb
MOCE,Mollugo cerviana,Introduced,Annual,Forb
MONU,Monolepis nuttalliana,Native,Annual,Forb
MOVE,Mollugo verticillata,Native,Annual,Forb
MUPO2,Muhlenbergia porteri,Native,Perennial,Grass
NAHI,Nama hispidum,Native,Annual,Forb
ONPI,Oncosiphon piluliferum,Introduced,Annual,Forb
PACA6,Panicum capillare,Native,Annual,Grass
PAHI5,Panicum hirticaule,Native,Annual,Grass
PAMI5,Parkinsonia microphylla,Native,Perennial,Shrub
PASM,Pascopyrum smithii,Native,Perennial,Grass
PECTO,Pectocarya,Native,Annual,Forb
PEHE,Pectocarya heterocarpa,Native,Annual,Forb
PEPA2,Pectis papposa,Native,Annual,Forb
PEPA8,Penstemon palmeri,Native,Perennial,Forb
PEPL,Pectocarya platycarpa,Native,Annual,Forb
PERE,Pectocarya recurvata,Native,Annual,Forb
PHDI,Phacelia distans,Native,Unknown,Forb
PHLO2,Phlox longifolia,Native,Perennial,Forb
PHYSA,Physalis,Unknown,Unknown,Forb
PLANT,Plantago,Unknown,Unknown,Forb
PLAR,Plagiobothrys arizonicus,Native,Annual,Forb
PLJA,Pleuraphis jamesii,Native,Perennial,Grass
PLMU3,Pleuraphis mutica,Native,Perennial,Grass
PLOV,Plantago ovata,Native,Annual,Forb
PLPA2,Plantago patagonica,Native,Annual,Forb
PLPR3,Plagiobothrys pringlei,Native,Annual,Forb
POBI,Poa bigelovii,Native,Annual,Grass
POOL,Portulaca oleracea,Unknown,Annual,Forb
POPI3,Portulaca pilosa,Native,Unknown,Forb
POSE,Poa secunda,Native,Perennial,Grass
POUM,Portulaca umbraticola,Native,Annual,Forb
PRGL2,Prosopis glandulosa,Native,Perennial,Shrub
PROACASPP,Mesquite/Acacia species,Native/Unknown,Perennial,Shrub
PRVE,Prosopis velutina,Native,Perennial,Shrub
PSCA11,Pseudognaphalium canescens,Native,Unknown,Forb
PSSP6,Pseudoroegneria spicata,Native,Perennial,Grass
SAAB,Sanvitalia abertii,Native,Annual,Forb
SACO6,Salvia columbariae,Native,Annual,Forb
SARE3,Salvia reflexa,Native,Annual,Forb
SATR12,Salsola tragus,Introduced,Annual,Forb
SCBA,Schismus barbatus,Introduced,Annual,Grass
SCMU6,Schkuhria multiflora,Native,Annual,Forb
SCPI3,Schkuhria pinnata,Unknown,Annual,Forb
SEBA3,Senna bauhinioides,Native,Perennial,Forb
SECO10,Senna covesii,Native,Perennial,Forb
SIAB,Sida abutifolia,Introduced,Unknown,Forb
SIAL,Sisymbrium altissimum,Introduced,Annual,Forb
SIAL2,Sisymbrium altissimum,Introduced,Annual,Forb
SIAN2,Silene antirrhina,Native,Annual,Forb
SIIR,Sisymbrium irio,Introduced,Annual,Forb
SINE,Sida neomexicana,Native,Perennial,Forb
SOEL,Solanum elaeagnifolium,Native,Perennial,Forb
SOOL,Sonchus oleraceus,Introduced,Annual,Forb
SORO,Solanum rostratum,Native,Annual,Forb
SPAI,Sporobolus airoides,Native,Perennial,Grass
SPAM2,Sphaeralcea ambigua,Native,Perennial,Forb
SPAMA,Sphaeralcea ambigua,Native,Perennial,Forb
SPCO,Sphaeralcea coccinea,Native,Perennial,Forb
SPCR,Sporobolus cryptandrus,Native,Perennial,Grass
SPEC2,Spermolepis echinata,Native,Annual,Forb
SPGR2,Sphaeralcea grossulariifolia,Native,Perennial,Forb
STGN,Stylocline gnaphalioides,Native,Annual,Forb
TAPO5,Talinum polygaloides,Native,Perennial,Forb
TILA2,Tidestromia lanuginosa,Native,Annual,Forb
TOIN,Townsendia incana,Native,Unknown,Forb
TRMU,Tridens muticus,Native,Perennial,Grass
TRPI,Tradescantia pinetorum,Native,Perennial,Forb
TRTE,Tribulus terrestris,Introduced,Annual,Forb
URLI5,Microseris lindleyi,Native,Annual,Forb
VEEN,Verbesina encelioides,Native,Annual,Forb
VEPEX2,Veronica peregrina ssp. xalapensis,Native,Annual,Forb
VUOC,Vulpia octoflora,Native,Annual,Grass
YUEL,Yucca elata,Native,Perennial,Shrub
ZIGR,Zinnia grandiflora,Native,Perennial,Forb
0,0,0,0,0
