Region,Site,Date_Seeded,Date_Monitored,SiteDateID,Plot,Treatment,PlotMix,SiteDatePlotID,CodeOriginal,Code,Name,Native,Duration,Lifeform,Count,Height,raw.row,SpeciesSeeded,PlantSource,PlantSource2,Weedy,PlotMix_Climate
Utah,Salt_Desert,2018-10-31T00:00:00Z,2019-05-09T00:00:00Z,175,5,Pits,Cool-Med,4181,ELEL5,ELEL5,Elymus elymoides,Native,Perennial,Grass,1,NA,10819,Yes,Seeded,Seeded,Desirable,Current
Utah,CRC,2018-10-17T00:00:00Z,2019-05-17T00:00:00Z,167,8,Mulch,Med-Warm,4258,S-UNGR1,S-UNGR1.CRC,"Seeded unknown grass 1, CRC",Native,Unknown,Grass,2,NA,11251,Yes,Seeded,Seeded,Desirable,Projected
Utah,CRC,2018-10-17T00:00:00Z,2019-05-17T00:00:00Z,167,11,Pits,Med-Warm,4261,S-UNGR1,S-UNGR1.CRC,"Seeded unknown grass 1, CRC",Native,Unknown,Grass,3,NA,11265,Yes,Seeded,Seeded,Desirable,Projected
Utah,Salt_Desert,2018-10-31T00:00:00Z,2019-05-28T00:00:00Z,176,5,Pits,Cool-Med,4291,ELEL5,ELEL5,Elymus elymoides,Native,Perennial,Grass,1,NA,11401,Yes,Seeded,Seeded,Desirable,Current
Sonoran SE,SRER,2019-08-09T00:00:00Z,2021-03-10T00:00:00Z,152,14,Control,None,4915,BOUSPP,BOUSPP.SRER,"Bouteloua spp., SRER",Native,Unknown,Grass,3,NA,13602,No,Native_recruit,Native recruit,Desirable,None
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2020-11-14T00:00:00Z,10,207,Mulch,Warm,6024,UnkATCA,UnkATCA.Mesquite,"Unknown shrub; Possible Atriplex canescens, Mesquite",Native,Perennial,Shrub,1,NA,16603,Yes,Seeded,Seeded,Desirable,Projected
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2020-12-12T00:00:00Z,11,214,Mulch,Warm,6067,Unkgrass,Unkgrass.Mesquite,"Unknown grass, Mesquite",Native,Unknown,Grass,8,NA,16651,No,Native_recruit,Native recruit,Desirable,Projected
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2020-12-12T00:00:00Z,11,222,Pits,Warm,6075,Unkgrass,Unkgrass.Mesquite,"Unknown grass, Mesquite",Native,Unknown,Grass,2,NA,16659,No,Native_recruit,Native recruit,Desirable,Projected
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2020-12-12T00:00:00Z,11,224,Mulch,Medium,6077,Unkgrass,Unkgrass.Mesquite,"Unknown grass, Mesquite",Native,Unknown,Grass,6,NA,16661,No,Native_recruit,Native recruit,Desirable,Current
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2021-03-20T00:00:00Z,12,207,Mulch,Warm,6096,ATCA,ATCA2,Atriplex canescens,Native,Perennial,Shrub,1,NA,16680,Yes,Seeded,Seeded,Desirable,Projected
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2021-03-20T00:00:00Z,12,207,Mulch,Warm,6096,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,1,NA,16681,Yes,Seeded,Seeded,Desirable,Projected
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2021-10-10T00:00:00Z,13,216,ConMod,Medium,6141,UNK Fuzzy astr,UNK Fuzzy astr.Mesquite,"Unknown fuzzy aster, Mesquite",Unknown,Unknown,Forb,1,NA,16788,No,Unknown_recruit,Recruit,Weedy,Current
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2023-03-24T00:00:00Z,125,19,Mulch,Cool,6330,ERCI6,ERCI6,Erodium cicutarium,Introduced,Annual,Forb,1,NA,17923,No,Introduced/Invasive,Introduced/Invasive,Weedy,Current
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2023-03-24T00:00:00Z,125,19,Mulch,Cool,6330,SCBA,SCBA,Schismus barbatus,Introduced,Annual,Grass,1,NA,17924,No,Introduced/Invasive,Introduced/Invasive,Weedy,Current
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2023-03-24T00:00:00Z,125,19,Mulch,Cool,6330,CRYPT,CRYPT.Pleasant,"Cryptantha spp., Pleasant",Native,Unknown,Forb,2,NA,17925,No,Native_recruit,Native recruit,Desirable,Current
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2023-03-24T00:00:00Z,125,19,Mulch,Cool,6330,CACI2,CACI2,Calandrinia ciliata,Native,Annual,Forb,3,NA,17926,No,Native_recruit,Native recruit,Desirable,Current
Sonoran Central,Pleasant,2019-12-19T00:00:00Z,2023-03-24T00:00:00Z,125,19,Mulch,Cool,6330,PECTO,PECTO,Pectocarya,Native,Annual,Forb,7,NA,17927,No,Native_recruit,Native recruit,Desirable,Current
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2021-10-10T00:00:00Z,13,218,Control,None,6143,CRPO5,CRPO5,Croton pottsii,Native,Perennial,Forb,125,NA,16798,No,Native_recruit,Native recruit,Desirable,None
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2021-10-10T00:00:00Z,13,222,Pits,Warm,6147,AMPA,AMPA,Amaranthus palmeri,Native,Annual,Forb,230,NA,16810,No,Native_recruit,Native recruit,Desirable,Projected
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2021-10-10T00:00:00Z,13,222,Pits,Warm,6147,CRPO5,CRPO5,Croton pottsii,Native,Perennial,Forb,275,NA,16811,No,Native_recruit,Native recruit,Desirable,Projected
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2021-10-10T00:00:00Z,13,222,Pits,Warm,6147,PAHI5,PAHI5,Panicum hirticaule,Native,Annual,Grass,210,NA,16812,No,Native_recruit,Native recruit,Desirable,Projected
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2021-10-10T00:00:00Z,13,222,Pits,Warm,6147,POPI3,POPI3,Portulaca pilosa,Native,Unknown,Forb,90,NA,16813,No,Native_recruit,Native recruit,Desirable,Projected
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2021-10-10T00:00:00Z,13,222,Pits,Warm,6147,TILA2,TILA2,Tidestromia lanuginosa,Native,Annual,Forb,117,NA,16814,No,Native_recruit,Native recruit,Desirable,Projected
Chihuahuan,Mesquite,2020-08-05T00:00:00Z,2021-10-10T00:00:00Z,13,222,Pits,Warm,6147,Unksporo,Unksporo.Mesquite,"Unknown grass; Sporobolus and Eragrostis, Mesquite",Unknown,Unknown,Grass,130,NA,16815,No,Unknown_recruit,Recruit,Weedy,Projected
