CodeOriginal,Name,Native,Region,Site,Duration,Lifeform,Code
Eriogonum sp.,"Erigonum spp., UtahPJ",Native,Utah,UtahPJ,Unknown,Forb,Eriogonum sp..UtahPJ
ERISP,"Eriogonum spp., BarTBar",Native,Colorado Plateau,BarTBar,Unknown,Forb,ERISP.BarTBar
ERISP,"Eriogonum spp., PEFO",Native,Colorado Plateau,PEFO,Unknown,Forb,ERISP.PEFO
ERISPP,"Eriastrum or Erigonum spp. (?), Patagonia",Native,Sonoran SE,Patagonia,Unknown,Forb,ERISPP.Patagonia
ERISPP,"Eriastrum or Erigonum spp. (?), SRER",Native,Sonoran SE,SRER,Unknown,Forb,ERISPP.SRER
FESSPP,"FES (fescue?) spp., SRER",Unknown,Sonoran SE,SRER,Unknown,Grass,FESSPP.SRER
GILSPP,"Gilia spp., Spiderweb",Native,Colorado Plateau,Spiderweb,Unknown,Forb,GILSPP.Spiderweb
GILSPP,"Gilia spp., 29_Palms",Native,Mojave,29_Palms,Unknown,Forb,GILSPP.29_Palms
HESP,"Heliomeris spp., BabbittPJ",Native,Colorado Plateau,BabbittPJ,Unknown,Forb,HESP.BabbittPJ
HESP,"Heliomeris spp., FlyingM",Native,Colorado Plateau,FlyingM,Unknown,Forb,HESP.FlyingM
LEPSPP,"Lepidium spp., 29_Palms",Native/Unknown,Mojave,29_Palms,Unknown,Forb,LEPSPP.29_Palms
LUPSPP,"Lupinus spp., SRER",Unknown,Sonoran SE,SRER,Unknown,Forb,LUPSPP.SRER
LUSPP,"Lupinus spp., AguaFria",Native/Unknown,Colorado Plateau,AguaFria,Unknown,Forb,LUSPP.AguaFria
MACSPP,"Machaeranthera spp., TLE",Native,Colorado Plateau,TLE,Unknown,Forb,MACSPP.TLE
MENSPP,"Mentzelia spp., PEFO",Native,Colorado Plateau,PEFO,Unknown,Forb,MENSPP.PEFO
MENSPP,"Mentzelia spp., 29_Palms",Native,Mojave,29_Palms,Unknown,Forb,MENSPP.29_Palms
MENSPP,"Mentzelia spp., SRER",Native,Sonoran SE,SRER,Unknown,Forb,MENSPP.SRER
MENSPP,"Mentzelia spp., Patagonia",Native,Sonoran SE,Patagonia,Unknown,Forb,MENSPP.Patagonia
OESP,"Oenothera spp., BarTBar",Native/Unknown,Colorado Plateau,BarTBar,Unknown,Forb,OESP.BarTBar
PANSPP,"Panicum spp., SRER",Native,Sonoran SE,SRER,Unknown,Grass,PANSPP.SRER
PECSPP,"Pectocarya spp., 29_Palms",Native,Mojave,29_Palms,Unknown,Forb,PECSPP.29_Palms
PHSPP,"Phacelia spp., BabbittPJ",Native,Colorado Plateau,BabbittPJ,Unknown,Forb,PHSPP.BabbittPJ
PLASPP,"Plantago spp., SRER",Unknown,Sonoran SE,SRER,Unknown,Forb,PLASPP.SRER
PORSPP,"Portulaca spp., BarTBar",Native,Colorado Plateau,BarTBar,Unknown,Forb,PORSPP.BarTBar
PORSPP,"Portulaca spp., FlyingM",Native,Colorado Plateau,FlyingM,Unknown,Forb,PORSPP.FlyingM
PORSPP,"Portulaca spp., PEFO",Native,Colorado Plateau,PEFO,Unknown,Forb,PORSPP.PEFO
PORSPP,"Portulaca spp., Patagonia",Native,Sonoran SE,Patagonia,Unknown,Forb,PORSPP.Patagonia
S-UNFO2,"Seeded unknown forb 2, CRC",Native,Utah,CRC,Unknown,Forb,S-UNFO2.CRC
S-UNFO2,"Seeded unknown forb 2, Salt_Desert",Native,Utah,Salt_Desert,Unknown,Forb,S-UNFO2.Salt_Desert
S-UNGR1,"Seeded unknown grass 1, CRC",Native,Utah,CRC,Unknown,Grass,S-UNGR1.CRC
S-UNGR1,"Seeded unknown grass 1, Salt_Desert",Native,Utah,Salt_Desert,Unknown,Grass,S-UNGR1.Salt_Desert
S-UNGR2,"Seeded unknown grass 2, CRC",Native,Utah,CRC,Unknown,Grass,S-UNGR2.CRC
S-UNGR2,"Seeded unknown grass 2, Salt_Desert",Native,Utah,Salt_Desert,Unknown,Grass,S-UNGR2.Salt_Desert
S-UNGR2,"Seeded unknown grass 2, UtahPJ",Native,Utah,UtahPJ,Unknown,Grass,S-UNGR2.UtahPJ
S-UNGR3,"Seeded unknown grass 3, CRC",Native,Utah,CRC,Unknown,Grass,S-UNGR3.CRC
S-UNGR3,"Seeded unknown grass 3, Salt_Desert",Native,Utah,Salt_Desert,Unknown,Grass,S-UNGR3.Salt_Desert
S-UNGR3,"Seeded unknown grass 3, UtahPJ",Native,Utah,UtahPJ,Unknown,Grass,S-UNGR3.UtahPJ
S-UNGR4,"Seeded unknown grass 4, CRC",Native,Utah,CRC,Unknown,Grass,S-UNGR4.CRC
S-UNGR4,"Seeded unknown grass 4, UtahPJ",Native,Utah,UtahPJ,Unknown,Grass,S-UNGR4.UtahPJ
S-UNGR5,"Seeded unknown grass 5, UtahPJ",Native,Utah,UtahPJ,Unknown,Grass,S-UNGR5.UtahPJ
SIDSPP,"Sida spp., SRER",Native/Unknown,Sonoran SE,SRER,Unknown,Forb,SIDSPP.SRER
SOSP,"Solanum spp., FlyingM",Native/Unknown,Colorado Plateau,FlyingM,Unknown,Forb,SOSP.FlyingM
SPSP,"Sphaeralcea spp., AguaFria",Native/Unknown,Colorado Plateau,AguaFria,Unknown,Forb,SPSP.AguaFria
SPSP,"Sphaeralcea spp., BarTBar",Native/Unknown,Colorado Plateau,BarTBar,Unknown,Forb,SPSP.BarTBar
SPSP,"Sphaeralcea spp., FlyingM",Native/Unknown,Colorado Plateau,FlyingM,Unknown,Forb,SPSP.FlyingM
SPSP,"Sphaeralcea spp., TLE",Native/Unknown,Colorado Plateau,TLE,Unknown,Forb,SPSP.TLE
SPSP,"Sphaeralcea spp., UtahPJ",Native/Unknown,Utah,UtahPJ,Unknown,Forb,SPSP.UtahPJ
STISPP,"Stipa spp., 29_Palms",Native/Unknown,Mojave,29_Palms,Unknown,Grass,STISPP.29_Palms
SUNGR,"Seeded unknown grass (?), TLE",Native,Colorado Plateau,TLE,Unknown,Shrub,SUNGR.TLE
SUNGR,"Seeded unknown grass (?), BabbittPJ",Native,Colorado Plateau,BabbittPJ,Unknown,Shrub,SUNGR.BabbittPJ
Trifolium,"Trifolium spp., Mesquite",Unknown,Chihuahuan,Mesquite,Unknown,Forb,Trifolium.Mesquite
UCHEN1,"Unknown UCHEN1 (?), PEFO",Unknown,Colorado Plateau,PEFO,Unknown,Unknown,UCHEN1.PEFO
UCHEN2,"Unknown UCHEN2 (?), PEFO",Unknown,Colorado Plateau,PEFO,Unknown,Unknown,UCHEN2.PEFO
UNDPF,"Unknown dead pod forb, SRER",Unknown,Sonoran SE,SRER,Unknown,Forb,UNDPF.SRER
UNDSF,"Unknown dead spikey forb, SRER",Unknown,Sonoran SE,SRER,Unknown,Forb,UNDSF.SRER
UNFO,"Unknown forb, FlyingM",Unknown,Colorado Plateau,FlyingM,Unknown,Forb,UNFO.FlyingM
UNFO,"Unknown forb, Spiderweb",Unknown,Colorado Plateau,Spiderweb,Unknown,Forb,UNFO.Spiderweb
UNFO_P_1,"Unknown forb; small reddish purple rosette with ovate leaves (Spring 2021), Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,UNFO_P_1.Patagonia
UNFO_P_2,"Unknown forb; Pinated leaves, upright rosette, lighter green, Ambrosia?  (Spring 2021), Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,UNFO_P_2.Patagonia
UNFO_P_3,"Unknown forb; Fabeacea (pea), long and spindly (Spring 2021), Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,UNFO_P_3.Patagonia
UNFO_P_4,"Unkown forb; Unknown Fabeacea (Pea), short and fuzzy, chunky, Acmispon Brachycarpus? (Spring 2021), Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,UNFO_P_4.Patagonia
UNFO_P_5,"Unknown forb; Prominent mid-vein, leaf doesn't completely surround/there's good amount of petiole, ovate leaves that're slightly speckled, oenothera? (Spring 2021), Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,UNFO_P_5.Patagonia
UNFO_P_6,"Unknown forb; Super tiny, red thin stem like SAIB but the top leaves are compounded with 3 leaflets, Amaranthaceae? (Spring 2021), Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,UNFO_P_6.Patagonia
UNFO_P_7,"Unknown forb; Rosette leaves slightly fuzzy and silvery light green. simple leaves, smells like bandaids (Spring 2021), Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,UNFO_P_7.Patagonia
UNFO_S_1,"Unknown forb; Purple vine, sagitate leaves (Spring 2021), SRER",Unknown,Sonoran SE,SRER,Unknown,Forb,UNFO_S_1.SRER
UNFO_S_3,"Unknown forb; Fuzzy green penately arranged leaflets, partially pinated lobes ""thick poppy"" possibly an ambrosia (Spring 2021), SRER",Unknown,Sonoran SE,SRER,Unknown,Forb,UNFO_S_3.SRER
UNFO_S_4,"Unknown forb; Super tiny, very spikey, pinately lobed, possible cryptantha or plagiobothrys (Spring 2021), SRER",Unknown,Sonoran SE,SRER,Unknown,Forb,UNFO_S_4.SRER
UNFO_S_5,"Unknown forb; Silky hairy fuzzy, straight leaves, no prominent veination, pseudognaphalium? (Spring 2021), SRER",Unknown,Sonoran SE,SRER,Unknown,Forb,UNFO_S_5.SRER
UNFO_S_7,"Unknown forb; ""artichoke head"", stem leaves alternate, basal rosette, possibly cryptantha? (Spring 2021), SRER",Unknown,Sonoran SE,SRER,Unknown,Forb,UNFO_S_7.SRER
UNFO1,"Unknown forb 1, AguaFria",Unknown,Colorado Plateau,AguaFria,Unknown,Forb,UNFO1.AguaFria
UNFO1,"Unknown forb 1, BabbittPJ",Unknown,Colorado Plateau,BabbittPJ,Unknown,Forb,UNFO1.BabbittPJ
UNFO1,"Unknown forb 1, FlyingM",Unknown,Colorado Plateau,FlyingM,Unknown,Forb,UNFO1.FlyingM
UNFO1,"Unknown forb 1, MOWE",Unknown,Colorado Plateau,MOWE,Unknown,Forb,UNFO1.MOWE
UNFO1,"Unknown forb 1, PEFO",Unknown,Colorado Plateau,PEFO,Unknown,Forb,UNFO1.PEFO
UNFO1,"Unknown forb 1, 29_Palms",Unknown,Mojave,29_Palms,Unknown,Forb,UNFO1.29_Palms
UNFO1,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,UNFO1.Patagonia
UNFO1,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, SRER",Unknown,Sonoran SE,SRER,Unknown,Forb,UNFO1.SRER
UNFO10,"Unknown forb 10, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Forb,UNFO10.UtahPJ
UNFO11,"Unknown forb 11, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Forb,UNFO11.UtahPJ
UNFO12,"Unknown forb 12, BarTBar",Unknown,Colorado Plateau,BarTBar,Unknown,Forb,UNFO12.BarTBar
UNFO13,"Unknown forb 13, BarTBar",Unknown,Colorado Plateau,BarTBar,Unknown,Forb,UNFO13.BarTBar
UNFO14,"Unknown forb 14, BarTBar",Unknown,Colorado Plateau,BarTBar,Unknown,Forb,UNFO14.BarTBar
UNFO16,"Unknown forb 16, BarTBar",Unknown,Colorado Plateau,BarTBar,Unknown,Forb,UNFO16.BarTBar
UNFO1A,"Unknown forb (Patagonia, Nov 2019) = Darker Green, 5 petals radiating out, Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,UNFO1A.Patagonia
UNFO2,"Unknown forb 2, AguaFria",Unknown,Colorado Plateau,AguaFria,Unknown,Forb,UNFO2.AguaFria
UNFO2,"Unknown forb 2, FlyingM",Unknown,Colorado Plateau,FlyingM,Unknown,Forb,UNFO2.FlyingM
UNFO2,"Unknown forb 2, MOWE",Unknown,Colorado Plateau,MOWE,Unknown,Forb,UNFO2.MOWE
UNFO2,"Unknown forb 2, Spiderweb",Unknown,Colorado Plateau,Spiderweb,Unknown,Forb,UNFO2.Spiderweb
UNFO2,"Unknown forb 2, TLE",Unknown,Colorado Plateau,TLE,Unknown,Forb,UNFO2.TLE
UNFO2,"Unknown forb 2, 29_Palms",Unknown,Mojave,29_Palms,Unknown,Forb,UNFO2.29_Palms
UNFO2,"Unknown forb (Patagonia); low to ground, succulenty, tiny white flowers, similar to purslane, Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,UNFO2.Patagonia
UNFO2,"Unknown forb 2, CRC",Unknown,Utah,CRC,Unknown,Forb,UNFO2.CRC
UNFO2,"Unknown forb 2, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Forb,UNFO2.UtahPJ
UNFO2A,"Unknown forb 2A, AVRCD",Unknown,Mojave,AVRCD,Unknown,Forb,UNFO2A.AVRCD
UNFO3,"Unknown forb 3, AguaFria",Unknown,Colorado Plateau,AguaFria,Unknown,Forb,UNFO3.AguaFria
UNFO3,"Unknown forb 3, BarTBar",Unknown,Colorado Plateau,BarTBar,Unknown,Forb,UNFO3.BarTBar
UNFO3,"Unknown forb 3, FlyingM",Unknown,Colorado Plateau,FlyingM,Unknown,Forb,UNFO3.FlyingM
UNFO3,"Unknown forb 3, Spiderweb",Unknown,Colorado Plateau,Spiderweb,Unknown,Forb,UNFO3.Spiderweb
UNFO3,"Unknown forb (Patagonia); upright mustard with small pods and tiny yellow flowers, Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,UNFO3.Patagonia
UNFO3,"Unknown forb (SRER); tiny reddish basal leaves, star-like petals, SRER",Unknown,Sonoran SE,SRER,Unknown,Forb,UNFO3.SRER
UNFO3,"Unknown forb 3, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Forb,UNFO3.UtahPJ
UNFO3,"Unknown forb 3, CRC",Unknown,Utah,CRC,Unknown,Forb,UNFO3.CRC
UNFO4,"Unknown forb 4, AguaFria",Unknown,Colorado Plateau,AguaFria,Unknown,Forb,UNFO4.AguaFria
UNFO4,"Unknown forb 4, BarTBar",Unknown,Colorado Plateau,BarTBar,Unknown,Forb,UNFO4.BarTBar
UNFO4,"Unknown forb 4, FlyingM",Unknown,Colorado Plateau,FlyingM,Unknown,Forb,UNFO4.FlyingM
UNFO4,"Unknown forb 4, MOWE",Unknown,Colorado Plateau,MOWE,Unknown,Forb,UNFO4.MOWE
UNFO4,"Unknown forb (SRER); very hairy radiating out/up, fuzzy rosettes, SRER",Unknown,Sonoran SE,SRER,Unknown,Forb,UNFO4.SRER
UNFO4,"Unknown forb 4, Salt_Desert",Unknown,Utah,Salt_Desert,Unknown,Forb,UNFO4.Salt_Desert
UNFO4,"Unknown forb 4, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Forb,UNFO4.UtahPJ
UNFO5,"Unknown forb 5, AguaFria",Unknown,Colorado Plateau,AguaFria,Unknown,Forb,UNFO5.AguaFria
UNFO5,"Unknown forb 5, FlyingM",Unknown,Colorado Plateau,FlyingM,Unknown,Forb,UNFO5.FlyingM
UNFO5,"Unknown forb 5, MOWE",Unknown,Colorado Plateau,MOWE,Unknown,Forb,UNFO5.MOWE
UNFO5,"Unknown forb 5, Spiderweb",Unknown,Colorado Plateau,Spiderweb,Unknown,Forb,UNFO5.Spiderweb
UNFO5,"Unknown forb (Patagonia); Similar to dandelion, yellow closed flowers, Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,UNFO5.Patagonia
UNFO5,"Unknown forb (SRER); Little carrot with tiny white flowers and thin leaves, SRER",Unknown,Sonoran SE,SRER,Unknown,Forb,UNFO5.SRER
UNFO5,"Unknown forb 5, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Forb,UNFO5.UtahPJ
UNFO6,"Unknown forb 6, AguaFria",Unknown,Colorado Plateau,AguaFria,Unknown,Forb,UNFO6.AguaFria
UNFO6,"Unknown forb 6, FlyingM",Unknown,Colorado Plateau,FlyingM,Unknown,Forb,UNFO6.FlyingM
UNFO6,"Unknown forb 6, Spiderweb",Unknown,Colorado Plateau,Spiderweb,Unknown,Forb,UNFO6.Spiderweb
UNFO6,"Unknown forb; green, young, radiating basal leaves; slightly fuzzy; Patagonia, Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,UNFO6.Patagonia
UNFO6,"Unknown forb (SRER); Very small, long slender leaves, fuzzy, leaf toothed around margins. Possibly Heterotheca grandiflora, SRER",Unknown,Sonoran SE,SRER,Unknown,Forb,UNFO6.SRER
UNFO6,"Unknown forb 6, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Forb,UNFO6.UtahPJ
UNFO7,"Unknown forb 7, AguaFria",Unknown,Colorado Plateau,AguaFria,Unknown,Forb,UNFO7.AguaFria
UNFO7,"Unknown forb 7, BarTBar",Unknown,Colorado Plateau,BarTBar,Unknown,Forb,UNFO7.BarTBar
UNFO7,"Unknown forb 7, FlyingM",Unknown,Colorado Plateau,FlyingM,Unknown,Forb,UNFO7.FlyingM
UNFO7,"Unknown forb 7, Spiderweb",Unknown,Colorado Plateau,Spiderweb,Unknown,Forb,UNFO7.Spiderweb
UNFO7,"Unknown forb 7, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Forb,UNFO7.UtahPJ
UNFO8,"Unknown forb 8, AguaFria",Unknown,Colorado Plateau,AguaFria,Unknown,Forb,UNFO8.AguaFria
UNFO8,"Unknown forb 8, BarTBar",Unknown,Colorado Plateau,BarTBar,Unknown,Forb,UNFO8.BarTBar
UNFO8,"Unknown forb 8, Spiderweb",Unknown,Colorado Plateau,Spiderweb,Unknown,Forb,UNFO8.Spiderweb
UNFO8,"Unknown forb 8, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Forb,UNFO8.UtahPJ
UNFO9,"Unknown forb 9, BarTBar",Unknown,Colorado Plateau,BarTBar,Unknown,Forb,UNFO9.BarTBar
UNFO9,"Unknown forb 9, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Forb,UNFO9.UtahPJ
UNFS,"Unknown forb seedling, Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Forb,UNFS.Patagonia
UNGR,"Unknown grass, AguaFria",Unknown,Colorado Plateau,AguaFria,Unknown,Grass,UNGR.AguaFria
UNGR,"Unknown grass, BabbittPJ",Unknown,Colorado Plateau,BabbittPJ,Unknown,Grass,UNGR.BabbittPJ
UNGR,"Unknown grass, BarTBar",Unknown,Colorado Plateau,BarTBar,Unknown,Grass,UNGR.BarTBar
UNGR,"Unknown grass, FlyingM",Unknown,Colorado Plateau,FlyingM,Unknown,Grass,UNGR.FlyingM
UNGR,"Unknown grass, MOWE",Unknown,Colorado Plateau,MOWE,Unknown,Grass,UNGR.MOWE
UNGR,"Unknown grass, PEFO",Unknown,Colorado Plateau,PEFO,Unknown,Grass,UNGR.PEFO
UNGR,"Unknown grass, Spiderweb",Unknown,Colorado Plateau,Spiderweb,Unknown,Grass,UNGR.Spiderweb
UNGR,"Unknown grass, TLE",Unknown,Colorado Plateau,TLE,Unknown,Grass,UNGR.TLE
UNGR,"Unknown grass, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Grass,UNGR.UtahPJ
UNGR_P_1,"Unknown grass; Possibly small ARIsp. (Spring 2021), Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Grass,UNGR_P_1.Patagonia
UNGR_S_1,"Unknown grass; Grass seedling short erose ligule slight chance ARPU because of 45 degree leaf or possibly a Vulpia sp. like VUOC (Spring 2021), SRER",Unknown,Sonoran SE,SRER,Unknown,Grass,UNGR_S_1.SRER
UNGR_S_2,"Unknown grass; Possibly a BOCU or another Bouteloua (Spring 2021), SRER",Native,Sonoran SE,SRER,Unknown,Grass,UNGR_S_2.SRER
UNGR1,"Unknown grass 1, AguaFria",Unknown,Colorado Plateau,AguaFria,Unknown,Grass,UNGR1.AguaFria
UNGR1,"Unknown grass 1, BabbittPJ",Unknown,Colorado Plateau,BabbittPJ,Unknown,Grass,UNGR1.BabbittPJ
UNGR1,"Unknown grass 1, FlyingM",Unknown,Colorado Plateau,FlyingM,Unknown,Grass,UNGR1.FlyingM
UNGR1,"Unknown grass 1, MOWE",Unknown,Colorado Plateau,MOWE,Unknown,Grass,UNGR1.MOWE
UNGR1,"Unknown grass 1, PEFO",Unknown,Colorado Plateau,PEFO,Unknown,Grass,UNGR1.PEFO
UNGR1,"Unknown grass 1, Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Grass,UNGR1.Patagonia
UNGR1,"Unknown grass (SantaRita); Possibly BOER or Aristida spp (so likely unseeded), SRER",Unknown,Sonoran SE,SRER,Unknown,Grass,UNGR1.SRER
UNGR1,"Unknown grass 1, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Grass,UNGR1.UtahPJ
UNGR1,"Unknown grass 1, Salt_Desert",Unknown,Utah,Salt_Desert,Unknown,Grass,UNGR1.Salt_Desert
UNGR2,"Unknown grass 2, AguaFria",Unknown,Colorado Plateau,AguaFria,Unknown,Grass,UNGR2.AguaFria
UNGR2,"Unknown grass 2, MOWE",Unknown,Colorado Plateau,MOWE,Unknown,Grass,UNGR2.MOWE
UNGR2,"Unknown grass 2, PEFO",Unknown,Colorado Plateau,PEFO,Unknown,Grass,UNGR2.PEFO
UNGR2,"Unknown grass 2, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Grass,UNGR2.UtahPJ
UNGR3,"Unknown grass 3, AguaFria",Unknown,Colorado Plateau,AguaFria,Unknown,Grass,UNGR3.AguaFria
UNGR3,"Unknown grass 3, MOWE",Unknown,Colorado Plateau,MOWE,Unknown,Grass,UNGR3.MOWE
UNGR3,"Unknown grass 3, PEFO",Unknown,Colorado Plateau,PEFO,Unknown,Grass,UNGR3.PEFO
UNGR3,"Unknown grass 3, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Grass,UNGR3.UtahPJ
UNGR4,"Unknown grass 4, AguaFria",Unknown,Colorado Plateau,AguaFria,Unknown,Grass,UNGR4.AguaFria
UNGR4,"Unknown grass 4, MOWE",Unknown,Colorado Plateau,MOWE,Unknown,Grass,UNGR4.MOWE
UNGR4,"Unknown grass 4, Salt_Desert",Unknown,Utah,Salt_Desert,Unknown,Grass,UNGR4.Salt_Desert
UNGR4,"Unknown grass 4, UtahPJ",Unknown,Utah,UtahPJ,Unknown,Grass,UNGR4.UtahPJ
UNGR5,"Unknown grass 5, AguaFria",Unknown,Colorado Plateau,AguaFria,Unknown,Grass,UNGR5.AguaFria
UNGRS1,"Unknown grass (Patagonia);Unk. grass seedling, bunchy, possible lovegrass?, SRER",Unknown,Sonoran SE,SRER,Unknown,Grass,UNGRS1.SRER
UNGRS1,"Unknown grass (SRER); Small tuft grass, bouteloua like growth, heads as nodes, Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Grass,UNGRS1.Patagonia
UNGRS2,"Unknown grass (Patagonia); Unk grass seedling, leaf divided early like BOGR, possible lovegrass?, Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Grass,UNGRS2.Patagonia
UNGRS3,"Unknown grass (Patagonia); Lighter green, thin leaves, possible threeawn?, Patagonia",Unknown,Sonoran SE,Patagonia,Unknown,Grass,UNGRS3.Patagonia
