Region,Site,CodeOriginal,Code,Name,Native,Duration,Lifeform,NeedsItsDuplicate
Sonoran SE,Patagonia,UNFO1,UNFO1.Patagonia,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, Patagonia",Unknown,Unknown,Forb,Yes
Colorado Plateau,PEFO,UNFO1,UNFO1.PEFO,"Unknown forb 1, PEFO",Unknown,Unknown,Forb,Yes
Sonoran SE,SRER,UNFO1,UNFO1.SRER,"Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower, SRER",Unknown,Unknown,Forb,Yes
Colorado Plateau,TLE,UNFO1,UNFO1.TLE,"Unknown forb 1, TLE",Unknown,Unknown,Forb,Yes
Colorado Plateau,BarTBar,UNFO13,UNFO13.BarTBar,"Unknown forb 13, BarTBar",Unknown,Unknown,Forb,Yes
Colorado Plateau,FlyingM,UNFO13,UNFO13.FlyingM,"Unknown forb 13, FlyingM",Unknown,Unknown,Forb,Yes
Mojave,29_Palms,UNFO2,UNFO2.29_Palms,"Unknown forb 2, 29_Palms",Unknown,Unknown,Forb,Yes
Colorado Plateau,AguaFria,UNFO2,UNFO2.AguaFria,"Unknown forb 2, AguaFria",Unknown,Unknown,Forb,Yes
Utah,CRC,UNFO2,UNFO2.CRC,"Unknown forb 2, CRC",Unknown,Unknown,Forb,Yes
Colorado Plateau,FlyingM,UNFO2,UNFO2.FlyingM,"Unknown forb 2, FlyingM",Unknown,Unknown,Forb,Yes
Colorado Plateau,MOWE,UNFO2,UNFO2.MOWE,"Unknown forb 2, MOWE",Unknown,Unknown,Forb,Yes
Sonoran SE,Patagonia,UNFO2,UNFO2.Patagonia,"Unknown forb (Patagonia); low to ground, succulenty, tiny white flowers, similar to purslane, Patagonia",Unknown,Unknown,Forb,Yes
Colorado Plateau,PEFO,UNFO2,UNFO2.PEFO,"Unknown forb 2, PEFO",Unknown,Unknown,Forb,Yes
Colorado Plateau,Spiderweb,UNFO2,UNFO2.Spiderweb,"Unknown forb 2, Spiderweb",Native,Unknown,Forb,Yes
Colorado Plateau,TLE,UNFO2,UNFO2.TLE,"Unknown forb 2, TLE",Unknown,Unknown,Forb,Yes
Utah,UtahPJ,UNFO2,UNFO2.UtahPJ,"Unknown forb 2, UtahPJ",Unknown,Unknown,Forb,Yes
Colorado Plateau,AguaFria,UNFO3,UNFO3.AguaFria,"Unknown forb 3, AguaFria",Unknown,Unknown,Forb,Yes
Colorado Plateau,BarTBar,UNFO3,UNFO3.BarTBar,"Unknown forb 3, BarTBar",Unknown,Unknown,Forb,Yes
Utah,CRC,UNFO3,UNFO3.CRC,"Unknown forb 3, CRC",Unknown,Unknown,Forb,Yes
Colorado Plateau,FlyingM,UNFO3,UNFO3.FlyingM,"Unknown forb 3, FlyingM",Unknown,Unknown,Forb,Yes
Sonoran SE,Patagonia,UNFO3,UNFO3.Patagonia,"Unknown forb (Patagonia); upright mustard with small pods and tiny yellow flowers, Patagonia",Unknown,Unknown,Forb,Yes
Colorado Plateau,Spiderweb,UNFO3,UNFO3.Spiderweb,"Unknown forb 3, Spiderweb",Unknown,Unknown,Forb,Yes
Sonoran SE,SRER,UNFO3,UNFO3.SRER,"Unknown forb (SRER); tiny reddish basal leaves, star-like petals, SRER",Unknown,Unknown,Forb,Yes
Utah,UtahPJ,UNFO3,UNFO3.UtahPJ,"Unknown forb 3, UtahPJ",Unknown,Unknown,Forb,Yes
Colorado Plateau,AguaFria,UNFO4,UNFO4.AguaFria,"Unknown forb 4, AguaFria",Unknown,Unknown,Forb,Yes
Colorado Plateau,BarTBar,UNFO4,UNFO4.BarTBar,"Unknown forb 4, BarTBar",Unknown,Unknown,Forb,Yes
Colorado Plateau,FlyingM,UNFO4,UNFO4.FlyingM,"Unknown forb 4, FlyingM",Unknown,Unknown,Forb,Yes
Colorado Plateau,MOWE,UNFO4,UNFO4.MOWE,"Unknown forb 4, MOWE",Unknown,Unknown,Forb,Yes
Utah,Salt_Desert,UNFO4,UNFO4.Salt_Desert,"Unknown forb 4, Salt_Desert",Unknown,Unknown,Forb,Yes
Sonoran SE,SRER,UNFO4,UNFO4.SRER,"Unknown forb (SRER); very hairy radiating out/up, fuzzy rosettes, SRER",Unknown,Unknown,Forb,Yes
Utah,UtahPJ,UNFO4,UNFO4.UtahPJ,"Unknown forb 4, UtahPJ",Unknown,Unknown,Forb,Yes
Colorado Plateau,AguaFria,UNFO5,UNFO5.AguaFria,"Unknown forb 5, AguaFria",Unknown,Unknown,Forb,Yes
Colorado Plateau,FlyingM,UNFO5,UNFO5.FlyingM,"Unknown forb 5, FlyingM",Unknown,Unknown,Forb,Yes
Colorado Plateau,MOWE,UNFO5,UNFO5.MOWE,"Unknown forb 5, MOWE",Unknown,Unknown,Forb,Yes
Sonoran SE,Patagonia,UNFO5,UNFO5.Patagonia,"Unknown forb (Patagonia); Similar to dandelion, yellow closed flowers, Patagonia",Unknown,Unknown,Forb,Yes
Colorado Plateau,Spiderweb,UNFO5,UNFO5.Spiderweb,"Unknown forb 5, Spiderweb",Unknown,Unknown,Forb,Yes
Sonoran SE,SRER,UNFO5,UNFO5.SRER,"Unknown forb (SRER); Little carrot with tiny white flowers and thin leaves, SRER",Unknown,Unknown,Forb,Yes
Utah,UtahPJ,UNFO5,UNFO5.UtahPJ,"Unknown forb 5, UtahPJ",Unknown,Unknown,Forb,Yes
Colorado Plateau,AguaFria,UNFO6,UNFO6.AguaFria,"Unknown forb 6, AguaFria",Unknown,Unknown,Forb,Yes
Colorado Plateau,FlyingM,UNFO6,UNFO6.FlyingM,"Unknown forb 6, FlyingM",Unknown,Unknown,Forb,Yes
Sonoran SE,Patagonia,UNFO6,UNFO6.Patagonia,"Unknown forb; green, young, radiating basal leaves; slightly fuzzy; Patagonia, Patagonia",Unknown,Unknown,Forb,Yes
Colorado Plateau,Spiderweb,UNFO6,UNFO6.Spiderweb,"Unknown forb 6, Spiderweb",Unknown,Unknown,Forb,Yes
Sonoran SE,SRER,UNFO6,UNFO6.SRER,"Unknown forb (SRER); Very small, long slender leaves, fuzzy, leaf toothed around margins. Possibly Heterotheca grandiflora, SRER",Unknown,Unknown,Forb,Yes
Utah,UtahPJ,UNFO6,UNFO6.UtahPJ,"Unknown forb 6, UtahPJ",Unknown,Unknown,Forb,Yes
Colorado Plateau,AguaFria,UNFO7,UNFO7.AguaFria,"Unknown forb 7, AguaFria",Unknown,Unknown,Forb,Yes
Colorado Plateau,BarTBar,UNFO7,UNFO7.BarTBar,"Unknown forb 7, BarTBar",Unknown,Unknown,Forb,Yes
Colorado Plateau,FlyingM,UNFO7,UNFO7.FlyingM,"Unknown forb 7, FlyingM",Unknown,Unknown,Forb,Yes
Colorado Plateau,Spiderweb,UNFO7,UNFO7.Spiderweb,"Unknown forb 7, Spiderweb",Unknown,Unknown,Forb,Yes
Utah,UtahPJ,UNFO7,UNFO7.UtahPJ,"Unknown forb 7, UtahPJ",Unknown,Unknown,Forb,Yes
Colorado Plateau,AguaFria,UNFO8,UNFO8.AguaFria,"Unknown forb 8, AguaFria",Unknown,Unknown,Forb,Yes
Colorado Plateau,BarTBar,UNFO8,UNFO8.BarTBar,"Unknown forb 8, BarTBar",Unknown,Unknown,Forb,Yes
Colorado Plateau,Spiderweb,UNFO8,UNFO8.Spiderweb,"Unknown forb 8, Spiderweb",Unknown,Unknown,Forb,Yes
Utah,UtahPJ,UNFO8,UNFO8.UtahPJ,"Unknown forb 8, UtahPJ",Unknown,Unknown,Forb,Yes
Colorado Plateau,BarTBar,UNFO9,UNFO9.BarTBar,"Unknown forb 9, BarTBar",Native,Unknown,Forb,Yes
Colorado Plateau,Spiderweb,UNFO9,UNFO9.Spiderweb,"Unknown forb 9, Spiderweb",Unknown,Unknown,Forb,Yes
Utah,UtahPJ,UNFO9,UNFO9.UtahPJ,"Unknown forb 9, UtahPJ",Unknown,Unknown,Forb,Yes
Colorado Plateau,AguaFria,UNGR,UNGR.AguaFria,"Unknown grass, AguaFria",Native,Unknown,Grass,Yes
Colorado Plateau,BabbittPJ,UNGR,UNGR.BabbittPJ,"Unknown grass, BabbittPJ",Native,Unknown,Grass,Yes
Colorado Plateau,BarTBar,UNGR,UNGR.BarTBar,"Unknown grass, BarTBar",Native,Unknown,Grass,Yes
Colorado Plateau,FlyingM,UNGR,UNGR.FlyingM,"Unknown grass, FlyingM",Native,Unknown,Grass,Yes
Colorado Plateau,MOWE,UNGR,UNGR.MOWE,"Unknown grass, MOWE",Native,Unknown,Grass,Yes
Colorado Plateau,PEFO,UNGR,UNGR.PEFO,"Unknown grass, PEFO",Native,Unknown,Grass,Yes
Colorado Plateau,Spiderweb,UNGR,UNGR.Spiderweb,"Unknown grass, Spiderweb",Native,Unknown,Grass,Yes
Sonoran SE,SRER,UNGR,UNGR.SRER,"Unknown grass, SRER",Unknown,Unknown,Grass,Yes
Colorado Plateau,TLE,UNGR,UNGR.TLE,"Unknown grass, TLE",Native,Unknown,Grass,Yes
Utah,UtahPJ,UNGR,UNGR.UtahPJ,"Unknown grass, UtahPJ",Unknown,Unknown,Grass,Yes
Colorado Plateau,AguaFria,UNGR1,UNGR1.AguaFria,"Unknown grass 1, AguaFria",Native,Unknown,Grass,Yes
Colorado Plateau,BabbittPJ,UNGR1,UNGR1.BabbittPJ,"Unknown grass 1, BabbittPJ",Native,Unknown,Grass,Yes
Colorado Plateau,FlyingM,UNGR1,UNGR1.FlyingM,"Unknown grass 1, FlyingM",Unknown,Unknown,Grass,Yes
Colorado Plateau,MOWE,UNGR1,UNGR1.MOWE,"Unknown grass 1, MOWE",Unknown,Unknown,Grass,Yes
Sonoran SE,Patagonia,UNGR1,UNGR1.Patagonia,"Unknown grass 1, Patagonia",Unknown,Unknown,Grass,Yes
Colorado Plateau,PEFO,UNGR1,UNGR1.PEFO,"Unknown grass 1, PEFO",Native,Unknown,Grass,Yes
Utah,Salt_Desert,UNGR1,UNGR1.Salt_Desert,"Unknown grass 1, Salt_Desert",Unknown,Unknown,Grass,Yes
Sonoran SE,SRER,UNGR1,UNGR1.SRER,"Unknown grass (SantaRita); Possibly BOER or Aristida spp (so likely unseeded), SRER",Unknown,Unknown,Grass,Yes
Utah,UtahPJ,UNGR1,UNGR1.UtahPJ,"Unknown grass 1, UtahPJ",Unknown,Unknown,Grass,Yes
Colorado Plateau,AguaFria,UNGR2,UNGR2.AguaFria,"Unknown grass 2, AguaFria",Native,Unknown,Grass,Yes
Colorado Plateau,MOWE,UNGR2,UNGR2.MOWE,"Unknown grass 2, MOWE",Native,Unknown,Grass,Yes
Colorado Plateau,PEFO,UNGR2,UNGR2.PEFO,"Unknown grass 2, PEFO",Native,Unknown,Grass,Yes
Utah,UtahPJ,UNGR2,UNGR2.UtahPJ,"Unknown grass 2, UtahPJ",Unknown,Unknown,Grass,Yes
Colorado Plateau,AguaFria,UNGR4,UNGR4.AguaFria,"Unknown grass 4, AguaFria",Unknown,Unknown,Grass,Yes
Colorado Plateau,MOWE,UNGR4,UNGR4.MOWE,"Unknown grass 4, MOWE",Unknown,Unknown,Grass,Yes
Utah,Salt_Desert,UNGR4,UNGR4.Salt_Desert,"Unknown grass 4, Salt_Desert",Unknown,Unknown,Grass,Yes
Utah,UtahPJ,UNGR4,UNGR4.UtahPJ,"Unknown grass 4, UtahPJ",Unknown,Unknown,Grass,Yes
Colorado Plateau,AguaFria,UNGR5,UNGR5.AguaFria,"Unknown grass 5, AguaFria",Unknown,Unknown,Grass,Yes
Colorado Plateau,Spiderweb,UNGR5,UNGR5.Spiderweb,"Unknown grass 5, Spiderweb",Unknown,Unknown,Grass,Yes
Sonoran Central,Preserve,Unk dark,Unk dark.Preserve,"Unknown dark, Preserve",Unknown,Unknown,Forb,Yes
Sonoran Central,SCC,Unk dark,Unk dark.SCC,"Unknown with dark hairy leaf and dark margin; resembles BAMU, SCC",Unknown,Unknown,Forb,Yes
Sonoran Central,Pleasant,Unk grass,Unk grass.Pleasant,"Unknown grass, Pleasant",Unknown,Unknown,Grass,Yes
Sonoran Central,SCC,Unk grass,Unk grass.SCC,"Unknown likely associated with warm seed mix, SCC",Unknown,Unknown,Grass,Yes
Sonoran Central,Pleasant,Unk sp.,Unk sp..Pleasant,"Unknown species, Pleasant",Unknown,Unknown,Unknown,Yes
Sonoran Central,SCC,Unk sp.,Unk sp..SCC,"Unknown species, SCC",Unknown,Unknown,Unknown,Yes
Chihuahuan,Mesquite,Unkaster,Unkaster.Mesquite,"Unknown aster, Mesquite",Unknown,Unknown,Forb,Yes
Colorado Plateau,PEFO,Unkaster,Unkaster.PEFO,"Unknown aster, PEFO",Unknown,Unknown,Forb,Yes
Chihuahuan,Creosote,Unkforb,Unkforb.Creosote,"Unknown forb, Creosote",Unknown,Unknown,Forb,Yes
Chihuahuan,Mesquite,Unkforb,Unkforb.Mesquite,"Unknown forb, Mesquite",Native,Unknown,Forb,Yes
Chihuahuan,Creosote,Unkforb1,Unkforb1.Creosote,"Unknown forb1, Creosote",Unknown,Unknown,Forb,Yes
Chihuahuan,Mesquite,Unkforb1,Unkforb1.Mesquite,"Unknown forb1, Mesquite",Unknown,Unknown,Forb,Yes
Chihuahuan,Creosote,Unkgrass,Unkgrass.Creosote,"Unknown grass, Creosote",Unknown,Unknown,Grass,Yes
Chihuahuan,Mesquite,Unkgrass,Unkgrass.Mesquite,"Unknown grass, Mesquite",Native,Unknown,Grass,Yes
Chihuahuan,Creosote,Unksporo,Unksporo.Creosote,"Unknown Sporobolus, Creosote",Unknown,Unknown,Grass,Yes
Chihuahuan,Mesquite,Unksporo,Unksporo.Mesquite,"Unknown Sporobolus, Mesquite",Unknown,Unknown,Grass,Yes
