Site,Region,PlotMix,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded
Mesquite,Chihuahuan,Medium,Unksporo,Unksporo.Mesquite,"Unknown grass; Sporobolus and Eragrostis, Mesquite",Unknown,Unknown,Grass,No
Mesquite,Chihuahuan,Warm,Unksporo,Unksporo.Mesquite,"Unknown grass; Sporobolus and Eragrostis, Mesquite",Unknown,Unknown,Grass,No
Mesquite,Chihuahuan,None,Unksporo,Unksporo.Mesquite,"Unknown grass; Sporobolus and Eragrostis, Mesquite",Unknown,Unknown,Grass,No
Mesquite,Chihuahuan,Warm,VEEN,VEEN,Verbesina encelioides,Native,Annual,Forb,No
Mesquite,Chihuahuan,Medium,VEEN,VEEN,Verbesina encelioides,Native,Annual,Forb,No
Mesquite,Chihuahuan,Warm,ZIGR,ZIGR,Zinnia grandiflora,Native,Perennial,Forb,No
Mesquite,Chihuahuan,None,ZIGR,ZIGR,Zinnia grandiflora,Native,Perennial,Forb,No
AguaFria,Colorado Plateau,Warm,ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,No
AguaFria,Colorado Plateau,Med-Warm,ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,No
AguaFria,Colorado Plateau,Med-Warm,ASNU5,ASNU5,Astragalus nuttallii,Introduced,Perennial,Forb,No
AguaFria,Colorado Plateau,Med-Warm,AVFA,AVFA,Avena fatua,Introduced,Annual,Grass,No
AguaFria,Colorado Plateau,Warm,AVFA,AVFA,Avena fatua,Introduced,Annual,Grass,No
AguaFria,Colorado Plateau,None,AVFA,AVFA,Avena fatua,Introduced,Annual,Grass,No
AguaFria,Colorado Plateau,Med-Warm,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,No
AguaFria,Colorado Plateau,None,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,No
AguaFria,Colorado Plateau,Warm,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,No
AguaFria,Colorado Plateau,Med-Warm,BRRU2,BRRU2,Bromus rubens,Introduced,Annual,Grass,No
AguaFria,Colorado Plateau,Warm,BRRU2,BRRU2,Bromus rubens,Introduced,Annual,Grass,No
AguaFria,Colorado Plateau,Med-Warm,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
AguaFria,Colorado Plateau,None,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
