Site,Region,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded
Creosote,Chihuahuan,Unkgrass2,Unkgrass2.Creosote,"Unknown grass 2, Creosote",Unknown,Unknown,Grass,No
Creosote,Chihuahuan,Unkgrass,Unkgrass.Creosote,"Unknown grass, Creosote",Unknown,Unknown,Grass,No
Creosote,Chihuahuan,Unksporo,Unksporo.Creosote,"Unknown grass; Sporobolus and Eragrostis, Creosote",Unknown,Unknown,Grass,No
Mesquite,Chihuahuan,AMPA,AMPA,Amaranthus palmeri,Native,Annual,Forb,No
Mesquite,Chihuahuan,BAHI,BAHI,Balsamorhiza hookeri,Native,Perennial,Forb,No
Mesquite,Chihuahuan,BOERH2,BOERH2,Boerhavia,Native,Unknown,Forb,No
Mesquite,Chihuahuan,BOBA2,BOBA2,Bouteloua barbata,Native,Annual,Grass,No
Mesquite,Chihuahuan,CHAMA,CHAMA.Mesquite,"Chamaesyce spp., Mesquite",Native,Unknown,Forb,No
Mesquite,Chihuahuan,CRPO5,CRPO5,Croton pottsii,Native,Perennial,Forb,No
Mesquite,Chihuahuan,HOGL2,HOGL2,Hoffmannseggia glauca,Native,Perennial,Forb,No
Mesquite,Chihuahuan,KAHI,KAHI,Kallstroemia hirsutissima,Native,Annual,Forb,No
Mesquite,Chihuahuan,PAHI7,PAHI7,Oplismenus hirtellus (Panicum hirtellum),Introduced,Perennial,Grass,No
Mesquite,Chihuahuan,PAHI5,PAHI5,Panicum hirticaule,Native,Annual,Grass,No
Mesquite,Chihuahuan,PEPA2,PEPA2,Pectis papposa,Native,Annual,Forb,No
Mesquite,Chihuahuan,POPI3,POPI3,Portulaca pilosa,Native,Unknown,Forb,No
Mesquite,Chihuahuan,PRGL2,PRGL2,Prosopis glandulosa,Native,Perennial,Shrub,No
Mesquite,Chihuahuan,SEBA2,SEBA2,Senna bacillaris,Native,Perennial,Shrub,No
Mesquite,Chihuahuan,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No
Mesquite,Chihuahuan,TILA2,TILA2,Tidestromia lanuginosa,Native,Annual,Forb,No
Mesquite,Chihuahuan,Unkaster,Unkaster.Mesquite,"Unknown aster, Mesquite",Unknown,Unknown,Forb,No
Mesquite,Chihuahuan,UNK Fuzzy astr,UNK Fuzzy astr.Mesquite,"Unknown fuzzy aster, Mesquite",Unknown,Unknown,Forb,No
Mesquite,Chihuahuan,Unkgrass,Unkgrass.Mesquite,"Unknown grass, Mesquite",Native,Unknown,Grass,No
Mesquite,Chihuahuan,Unksporo,Unksporo.Mesquite,"Unknown grass; Sporobolus and Eragrostis, Mesquite",Unknown,Unknown,Grass,No
Mesquite,Chihuahuan,VEEN,VEEN,Verbesina encelioides,Native,Annual,Forb,No
Mesquite,Chihuahuan,ZIGR,ZIGR,Zinnia grandiflora,Native,Perennial,Forb,No
AguaFria,Colorado Plateau,ASTU,ASTU,Asclepias tuberosa,Native,Perennial,Forb,No
AguaFria,Colorado Plateau,ASNU5,ASNU5,Astragalus nuttallii,Introduced,Perennial,Forb,No
AguaFria,Colorado Plateau,AVFA,AVFA,Avena fatua,Introduced,Annual,Grass,No
AguaFria,Colorado Plateau,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,No
AguaFria,Colorado Plateau,BRRU2,BRRU2,Bromus rubens,Introduced,Annual,Grass,No
AguaFria,Colorado Plateau,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
AguaFria,Colorado Plateau,DICA14,DICA14,Dichelostemma capitatum,Native,Perennial,Forb,No
AguaFria,Colorado Plateau,ELSPP,ELSPP.AguaFria,"Elymus spp., AguaFria",Native/Unknown,Unknown,Grass,No
AguaFria,Colorado Plateau,ERCI6,ERCI6,Erodium cicutarium,Introduced,Annual,Forb,No
AguaFria,Colorado Plateau,HOPU,HOPU,Hordeum pusillum,Native,Annual,Grass,No
AguaFria,Colorado Plateau,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,No
AguaFria,Colorado Plateau,LOSA,LOSA,Lotus salsuginosus,Native,Annual,Forb,No
AguaFria,Colorado Plateau,LUSP,LUSP,Lupinus sparsiflorus (?),Native,Annual,Forb,No
AguaFria,Colorado Plateau,LUSPP,LUSPP.AguaFria,"Lupinus spp., AguaFria",Native/Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,MEOF,MEOF,Melilotus officinalis,Introduced,Unknown,Forb,No
AguaFria,Colorado Plateau,PLPA2,PLPA2,Plantago patagonica,Native,Annual,Forb,No
AguaFria,Colorado Plateau,SCBA,SCBA,Schismus barbatus,Introduced,Annual,Grass,No
AguaFria,Colorado Plateau,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,No
AguaFria,Colorado Plateau,SPSP,SPSP.AguaFria,"Sphaeralcea spp., AguaFria",Native/Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,UNFO1,UNFO1.AguaFria,"Unknown forb 1, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,UNFO2,UNFO2.AguaFria,"Unknown forb 2, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,UNFO3,UNFO3.AguaFria,"Unknown forb 3, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,UNFO4,UNFO4.AguaFria,"Unknown forb 4, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,UNFO5,UNFO5.AguaFria,"Unknown forb 5, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,UNFO6,UNFO6.AguaFria,"Unknown forb 6, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,UNFO7,UNFO7.AguaFria,"Unknown forb 7, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,UNFO8,UNFO8.AguaFria,"Unknown forb 8, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,UNGR1,UNGR1.AguaFria,"Unknown grass 1, AguaFria",Native,Unknown,Grass,No
AguaFria,Colorado Plateau,UNGR2,UNGR2.AguaFria,"Unknown grass 2, AguaFria",Native,Unknown,Grass,No
AguaFria,Colorado Plateau,UNGR3,UNGR3.AguaFria,"Unknown grass 3, AguaFria",Native,Unknown,Grass,No
AguaFria,Colorado Plateau,UNGR4,UNGR4.AguaFria,"Unknown grass 4, AguaFria",Unknown,Unknown,Grass,No
AguaFria,Colorado Plateau,UNGR5,UNGR5.AguaFria,"Unknown grass 5, AguaFria",Unknown,Unknown,Grass,No
AguaFria,Colorado Plateau,UNGR,UNGR.AguaFria,"Unknown grass, AguaFria",Native,Unknown,Grass,No
AguaFria,Colorado Plateau,BOSPP,BOSPP.AguaFria,"local Bouteloua species (unknown), AguaFria",Native,Unknown,Grass,No
BabbittPJ,Colorado Plateau,AMBSPP,AMBSPP.BabbittPJ,"Ambrosia spp., BabbittPJ",Native/Unknown,Unknown,Forb,No
BabbittPJ,Colorado Plateau,BOGR2,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,No
BabbittPJ,Colorado Plateau,BOSI2,BOSI2,Bouteloua simplex,Native,Annual,Grass,No
BabbittPJ,Colorado Plateau,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
BabbittPJ,Colorado Plateau,HECI,HECI,Helianthus ciliaris,Native,Perennial,Forb,No
BabbittPJ,Colorado Plateau,HESP,HESP.BabbittPJ,"Heliomeris spp., BabbittPJ",Native,Unknown,Forb,No
BabbittPJ,Colorado Plateau,LECI4,LECI4,Leymus cinereus,Native,Perennial,Grass,No
BabbittPJ,Colorado Plateau,LILE3,LILE3,Linum lewisii,Native,Perennial,Forb,No
BabbittPJ,Colorado Plateau,PHNE3,PHNE3,Phacelia neomexicana,Native,Annual,Forb,No
BabbittPJ,Colorado Plateau,PHSPP,PHSPP.BabbittPJ,"Phacelia spp., BabbittPJ",Native,Unknown,Forb,No
BabbittPJ,Colorado Plateau,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,No
BabbittPJ,Colorado Plateau,CHEN,CHEN.BabbittPJ,"Unknown chenopod, BabbittPJ",Native/Unknown,Unknown,Forb,No
BabbittPJ,Colorado Plateau,UNFO1,UNFO1.BabbittPJ,"Unknown forb 1, BabbittPJ",Native,Unknown,Forb,No
BarTBar,Colorado Plateau,ACMI2,ACMI2,Achillea millefolium,Native,Perennial,Forb,No
BarTBar,Colorado Plateau,AMASPP,AMASPP.BarTBar,"Amaranthus spp., BarTBar",Native/Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,ARFR4,ARFR4,Artemisia frigida,Native,Perennial,Shrub,No
BarTBar,Colorado Plateau,ARSPP,ARSPP.BarTBar,"Artemisia spp., BarTBar",Native/Unknown,Perennial,Shrub,No
BarTBar,Colorado Plateau,ATCA2,ATCA2,Atriplex canescens,Native,Perennial,Shrub,No
BarTBar,Colorado Plateau,CHER2,CHER2,Chaetopappa ericoides,Native,Perennial,Forb,No
BarTBar,Colorado Plateau,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
BarTBar,Colorado Plateau,DACA7,DACA7,Dalea candida,Native,Perennial,Forb,No
BarTBar,Colorado Plateau,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No
BarTBar,Colorado Plateau,DEPI,DEPI,Descurainia pinnata,Native,Unknown,Forb,No
BarTBar,Colorado Plateau,ERISP,ERISP.BarTBar,"Eriogonum spp., BarTBar",Native,Unknown,Forb,No
BarTBar,Colorado Plateau,GUSA2,GUSA2,Gutierrezia sarothrae,Native,Perennial,Shrub,No
BarTBar,Colorado Plateau,KRLA2,KRLA2,Krascheninnikovia lanata,Native,Perennial,Shrub,No
BarTBar,Colorado Plateau,LILE3,LILE3,Linum lewisii,Native,Perennial,Forb,No
BarTBar,Colorado Plateau,OESP,OESP.BarTBar,"Oenothera spp., BarTBar",Native/Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,PORSPP,PORSPP.BarTBar,"Portulaca spp., BarTBar",Native,Unknown,Forb,No
BarTBar,Colorado Plateau,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,No
BarTBar,Colorado Plateau,SAAB,SAAB,Sanvitalia abertii,Native,Annual,Forb,No
BarTBar,Colorado Plateau,SCMU6,SCMU6,Schkuhria multiflora,Native,Annual,Forb,No
BarTBar,Colorado Plateau,SPSP,SPSP.BarTBar,"Sphaeralcea spp., BarTBar",Native/Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,UNFO12,UNFO12.BarTBar,"Unknown forb 12, BarTBar",Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,UNFO13,UNFO13.BarTBar,"Unknown forb 13, BarTBar",Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,UNFO14,UNFO14.BarTBar,"Unknown forb 14, BarTBar",Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,UNFO16,UNFO16.BarTBar,"Unknown forb 16, BarTBar",Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,UNFO3,UNFO3.BarTBar,"Unknown forb 3, BarTBar",Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,UNFO4,UNFO4.BarTBar,"Unknown forb 4, BarTBar",Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,UNFO7,UNFO7.BarTBar,"Unknown forb 7, BarTBar",Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,UNFO8,UNFO8.BarTBar,"Unknown forb 8, BarTBar",Unknown,Unknown,Forb,No
BarTBar,Colorado Plateau,UNFO9,UNFO9.BarTBar,"Unknown forb 9, BarTBar",Native,Unknown,Forb,No
BarTBar,Colorado Plateau,UNGR,UNGR.BarTBar,"Unknown grass, BarTBar",Native,Unknown,Grass,No
BarTBar,Colorado Plateau,UNSH,UNSH.BarTBar,"Unknown shrub, BarTBar",Unknown,Perennial,Shrub,No
BarTBar,Colorado Plateau,BOSPP,BOSPP.BarTBar,"local Bouteloua species (unknown), BarTBar",Native,Unknown,Grass,No
FlyingM,Colorado Plateau,AmaranthusSpp,AmaranthusSpp.FlyingM,"Amaranthus spp., FlyingM",Unknown,Unknown,Forb,No
FlyingM,Colorado Plateau,ATCA2,ATCA2,Atriplex canescens,Native,Perennial,Shrub,No
FlyingM,Colorado Plateau,ATCO,ATCO,Atriplex confertifolia,Native,Perennial,Shrub,No
FlyingM,Colorado Plateau,BOGR2,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,No
FlyingM,Colorado Plateau,CHCO2,CHCO2,Chamaesaracha coronopus,Native,Perennial,Forb,No
FlyingM,Colorado Plateau,CHWA,CHWA,Chenopodium watsonii,Native,Annual,Forb,No
FlyingM,Colorado Plateau,CRCR3,CRCR3,Cryptantha crassisepala,Native,Annual,Forb,No
FlyingM,Colorado Plateau,DACA7,DACA7,Dalea candida,Native,Perennial,Forb,No
FlyingM,Colorado Plateau,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No
FlyingM,Colorado Plateau,DEPI,DEPI,Descurainia pinnata,Native,Unknown,Forb,No
FlyingM,Colorado Plateau,ELEL5,ELEL5,Elymus elymoides,Native,Perennial,Grass,No
FlyingM,Colorado Plateau,ELSPP,ELSPP.FlyingM,"Elymus spp., FlyingM",Native/Unknown,Unknown,Grass,No
FlyingM,Colorado Plateau,HESP,HESP.FlyingM,"Heliomeris spp., FlyingM",Native,Unknown,Forb,No
FlyingM,Colorado Plateau,KRLA2,KRLA2,Krascheninnikovia lanata,Native,Perennial,Shrub,No
FlyingM,Colorado Plateau,MATA2,MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,No
FlyingM,Colorado Plateau,MEMO4,MEMO4,Mentzelia montana,Native,Annual,Forb,No
FlyingM,Colorado Plateau,PORSPP,PORSPP.FlyingM,"Portulaca spp., FlyingM",Native,Unknown,Forb,No
FlyingM,Colorado Plateau,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,No
FlyingM,Colorado Plateau,SAAB,SAAB,Sanvitalia abertii,Native,Annual,Forb,No
FlyingM,Colorado Plateau,SPSP,SPSP.FlyingM,"Sphaeralcea spp., FlyingM",Native/Unknown,Unknown,Forb,No
FlyingM,Colorado Plateau,UNFO1,UNFO1.FlyingM,"Unknown forb 1, FlyingM",Unknown,Unknown,Forb,No
FlyingM,Colorado Plateau,UNFO2,UNFO2.FlyingM,"Unknown forb 2, FlyingM",Unknown,Unknown,Forb,No
FlyingM,Colorado Plateau,UNFO3,UNFO3.FlyingM,"Unknown forb 3, FlyingM",Unknown,Unknown,Forb,No
FlyingM,Colorado Plateau,UNFO4,UNFO4.FlyingM,"Unknown forb 4, FlyingM",Unknown,Unknown,Forb,No
FlyingM,Colorado Plateau,UNFO5,UNFO5.FlyingM,"Unknown forb 5, FlyingM",Unknown,Unknown,Forb,No
FlyingM,Colorado Plateau,UNFO6,UNFO6.FlyingM,"Unknown forb 6, FlyingM",Unknown,Unknown,Forb,No
FlyingM,Colorado Plateau,UNFO7,UNFO7.FlyingM,"Unknown forb 7, FlyingM",Unknown,Unknown,Forb,No
FlyingM,Colorado Plateau,UNGR1,UNGR1.FlyingM,"Unknown grass 1, FlyingM",Unknown,Unknown,Grass,No
FlyingM,Colorado Plateau,UNGR,UNGR.FlyingM,"Unknown grass, FlyingM",Native,Unknown,Grass,No
FlyingM,Colorado Plateau,VEEN,VEEN,Verbesina encelioides,Native,Annual,Forb,No
FlyingM,Colorado Plateau,BOSPP,BOSPP.FlyingM,"local Bouteloua species (unknown), FlyingM",Native,Unknown,Grass,No
MOWE,Colorado Plateau,0,0,0,0,0,0,No
MOWE,Colorado Plateau,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,No
MOWE,Colorado Plateau,BRRU2,BRRU2,Bromus rubens,Introduced,Annual,Grass,No
MOWE,Colorado Plateau,BRTE,BRTE,Bromus tectorum,Introduced,Annual,Grass,No
MOWE,Colorado Plateau,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
MOWE,Colorado Plateau,CHTE2,CHTE2,Chorispora tenella,Introduced,Annual,Forb,No
MOWE,Colorado Plateau,DEPI,DEPI,Descurainia pinnata,Native,Unknown,Forb,No
MOWE,Colorado Plateau,DRCU,DRCU,Draba cuneifolia,Native,Annual,Forb,No
MOWE,Colorado Plateau,ERCI6,ERCI6,Erodium cicutarium,Introduced,Annual,Forb,No
MOWE,Colorado Plateau,HOMU,HOMU,Hordeum murinum,Introduced,Annual,Grass,No
MOWE,Colorado Plateau,HOPU,HOPU,Hordeum pusillum,Native,Annual,Grass,No
MOWE,Colorado Plateau,MAGR10,MAGR10,Machaeranthera gracilis,Native,Annual,Forb,No
MOWE,Colorado Plateau,PEPA8,PEPA8,Penstemon palmeri,Native,Perennial,Forb,No
MOWE,Colorado Plateau,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,No
MOWE,Colorado Plateau,SIAL2,SIAL2,Sisymbrium altissimum,Introduced,Annual,Forb,No
MOWE,Colorado Plateau,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No
MOWE,Colorado Plateau,TRTE,TRTE,Tribulus terrestris,Introduced,Annual,Forb,No
MOWE,Colorado Plateau,CHEN,CHEN.MOWE,"Unknown chenopod, MOWE",Native/Unknown,Unknown,Forb,No
MOWE,Colorado Plateau,UNFO1,UNFO1.MOWE,"Unknown forb 1, MOWE",Unknown,Unknown,Forb,No
MOWE,Colorado Plateau,UNFO2,UNFO2.MOWE,"Unknown forb 2, MOWE",Unknown,Unknown,Forb,No
MOWE,Colorado Plateau,UNFO4,UNFO4.MOWE,"Unknown forb 4, MOWE",Unknown,Unknown,Forb,No
MOWE,Colorado Plateau,UNFO5,UNFO5.MOWE,"Unknown forb 5, MOWE",Unknown,Unknown,Forb,No
MOWE,Colorado Plateau,UNGR1,UNGR1.MOWE,"Unknown grass 1, MOWE",Unknown,Unknown,Grass,No
MOWE,Colorado Plateau,UNGR2,UNGR2.MOWE,"Unknown grass 2, MOWE",Native,Unknown,Grass,No
MOWE,Colorado Plateau,UNGR3,UNGR3.MOWE,"Unknown grass 3, MOWE",Unknown,Unknown,Grass,No
MOWE,Colorado Plateau,UNGR4,UNGR4.MOWE,"Unknown grass 4, MOWE",Unknown,Unknown,Grass,No
PEFO,Colorado Plateau,ATCO,ATCO,Atriplex confertifolia,Native,Perennial,Shrub,No
PEFO,Colorado Plateau,ATSP,ATSP.PEFO,"Atriplex spp., PEFO",Native/Unknown,Perennial,Shrub,No
PEFO,Colorado Plateau,BRRU2,BRRU2,Bromus rubens,Introduced,Annual,Grass,No
PEFO,Colorado Plateau,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
PEFO,Colorado Plateau,CRCR3,CRCR3,Cryptantha crassisepala,Native,Annual,Forb,No
PEFO,Colorado Plateau,DEPI,DEPI,Descurainia pinnata,Native,Unknown,Forb,No
PEFO,Colorado Plateau,ERISP,ERISP.PEFO,"Eriogonum spp., PEFO",Native,Unknown,Forb,No
PEFO,Colorado Plateau,GUSA2,GUSA2,Gutierrezia sarothrae,Native,Perennial,Shrub,No
PEFO,Colorado Plateau,HAGL,HAGL,Halogeton glomeratus,Introduced,Annual,Forb,No
PEFO,Colorado Plateau,MENSPP,MENSPP.PEFO,"Mentzelia spp., PEFO",Native,Unknown,Forb,No
PEFO,Colorado Plateau,PORSPP,PORSPP.PEFO,"Portulaca spp., PEFO",Native,Unknown,Forb,No
PEFO,Colorado Plateau,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,No
PEFO,Colorado Plateau,SPCR,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,No
PEFO,Colorado Plateau,TOIN,TOIN,Townsendia incana,Native,Unknown,Forb,No
PEFO,Colorado Plateau,UCHEN1,UCHEN1.PEFO,"Unknown UCHEN1 (?), PEFO",Unknown,Unknown,Unknown,No
PEFO,Colorado Plateau,UCHEN2,UCHEN2.PEFO,"Unknown UCHEN2 (?), PEFO",Unknown,Unknown,Unknown,No
PEFO,Colorado Plateau,UNFO1,UNFO1.PEFO,"Unknown forb 1, PEFO",Unknown,Unknown,Forb,No
PEFO,Colorado Plateau,UNGR1,UNGR1.PEFO,"Unknown grass 1, PEFO",Native,Unknown,Grass,No
PEFO,Colorado Plateau,UNGR3,UNGR3.PEFO,"Unknown grass 3, PEFO",Native,Unknown,Grass,No
PEFO,Colorado Plateau,UNGR,UNGR.PEFO,"Unknown grass, PEFO",Native,Unknown,Grass,No
PEFO,Colorado Plateau,BOSPP,BOSPP.PEFO,"local Bouteloua species (unknown), PEFO",Native,Unknown,Grass,No
Spiderweb,Colorado Plateau,ALIN,ALIN,Allionia incarnata,Native,Unknown,Forb,No
Spiderweb,Colorado Plateau,ATCO,ATCO,Atriplex confertifolia,Native,Perennial,Shrub,No
Spiderweb,Colorado Plateau,BOSI2,BOSI2,Bouteloua simplex,Native,Annual,Grass,No
Spiderweb,Colorado Plateau,CHCO2,CHCO2,Chamaesaracha coronopus,Native,Perennial,Forb,No
Spiderweb,Colorado Plateau,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
Spiderweb,Colorado Plateau,CLLU2,CLLU2,Cleome lutea,Native,Annual,Forb,No
Spiderweb,Colorado Plateau,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No
Spiderweb,Colorado Plateau,GILSPP,GILSPP.Spiderweb,"Gilia spp., Spiderweb",Native,Unknown,Forb,No
Spiderweb,Colorado Plateau,HAGL,HAGL,Halogeton glomeratus,Introduced,Annual,Forb,No
Spiderweb,Colorado Plateau,LOESE2,LOESE2,Loeseliastrum franciscanum,Native,Annual,Forb,No
Spiderweb,Colorado Plateau,MAGR10,MAGR10,Machaeranthera gracilis,Native,Annual,Forb,No
Spiderweb,Colorado Plateau,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,No
Spiderweb,Colorado Plateau,TRTE,TRTE,Tribulus terrestris,Introduced,Annual,Forb,No
Spiderweb,Colorado Plateau,UNFO3,UNFO3.Spiderweb,"Unknown forb 3, Spiderweb",Unknown,Unknown,Forb,No
Spiderweb,Colorado Plateau,UNFO5,UNFO5.Spiderweb,"Unknown forb 5, Spiderweb",Unknown,Unknown,Forb,No
Spiderweb,Colorado Plateau,UNFO6,UNFO6.Spiderweb,"Unknown forb 6, Spiderweb",Unknown,Unknown,Forb,No
Spiderweb,Colorado Plateau,UNFO7,UNFO7.Spiderweb,"Unknown forb 7, Spiderweb",Unknown,Unknown,Forb,No
Spiderweb,Colorado Plateau,UNFO8,UNFO8.Spiderweb,"Unknown forb 8, Spiderweb",Unknown,Unknown,Forb,No
Spiderweb,Colorado Plateau,UNGR,UNGR.Spiderweb,"Unknown grass, Spiderweb",Native,Unknown,Grass,No
Spiderweb,Colorado Plateau,BOSPP,BOSPP.Spiderweb,"local Bouteloua species (unknown), Spiderweb",Native,Unknown,Grass,No
TLE,Colorado Plateau,ACHY,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,No
TLE,Colorado Plateau,AMTO3,AMTO3,Ambrosia tomentosa,Native,Perennial,Forb,No
TLE,Colorado Plateau,BRRU2,BRRU2,Bromus rubens,Introduced,Annual,Grass,No
TLE,Colorado Plateau,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
TLE,Colorado Plateau,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No
TLE,Colorado Plateau,MACSPP,MACSPP.TLE,"Machaeranthera spp., TLE",Native,Unknown,Forb,No
TLE,Colorado Plateau,MEAL6,MEAL6,Mentzelia albicaulis,Native,Annual,Forb,No
TLE,Colorado Plateau,SATR12,SATR12,Salsola tragus,Introduced,Annual,Forb,No
TLE,Colorado Plateau,SPSP,SPSP.TLE,"Sphaeralcea spp., TLE",Native/Unknown,Unknown,Forb,No
TLE,Colorado Plateau,TRTE,TRTE,Tribulus terrestris,Introduced,Annual,Forb,No
TLE,Colorado Plateau,CHEN,CHEN.TLE,"Unknown chenopod, TLE",Native/Unknown,Unknown,Forb,No
TLE,Colorado Plateau,UNFO2,UNFO2.TLE,"Unknown forb 2, TLE",Unknown,Unknown,Forb,No
TLE,Colorado Plateau,UNGR,UNGR.TLE,"Unknown grass, TLE",Native,Unknown,Grass,No
29_Palms,Mojave,CHASPP,CHASPP.29_Palms,"Chaenactis spp., 29_Palms",Native,Unknown,Forb,No
29_Palms,Mojave,CRYSPP,CRYSPP.29_Palms,"Cryptantha spp., 29_Palms",Native,Unknown,Forb,No
29_Palms,Mojave,GILSPP,GILSPP.29_Palms,"Gilia spp., 29_Palms",Native,Unknown,Forb,No
29_Palms,Mojave,LEPSPP,LEPSPP.29_Palms,"Lepidium spp., 29_Palms",Native/Unknown,Unknown,Forb,No
29_Palms,Mojave,MENSPP,MENSPP.29_Palms,"Mentzelia spp., 29_Palms",Native,Unknown,Forb,No
29_Palms,Mojave,PEPL,PEPL,Pectocarya platycarpa,Native,Annual,Forb,No
29_Palms,Mojave,PECSPP,PECSPP.29_Palms,"Pectocarya spp., 29_Palms",Native,Unknown,Forb,No
