Region,Site,CodeOriginal,Code,Name,Native,Duration,Lifeform
Sonoran Central,SCC,Unk grass,Unk grass.SCC,"Unknown likely associated with warm seed mix, SCC",Unknown,Unknown,Grass
Sonoran Central,Pleasant,Unk sp.,Unk sp..Pleasant,"Unknown species, Pleasant",Unknown,Unknown,Unknown
Chihuahuan,Creosote,Unkfabaceae,Unkfabaceae.Creosote,"Unknown fabaceae, Creosote",Unknown,Unknown,Forb
Chihuahuan,Creosote,Unkforb,Unkforb.Creosote,"Unknown forb, Creosote",Unknown,Unknown,Forb
Chihuahuan,Creosote,Unkforb1,Unkforb1.Creosote,"Unknown forb, Creosote",Unknown,Unknown,Forb
Chihuahuan,Creosote,Unkgrass,Unkgrass.Creosote,"Unknown grass, Creosote",Unknown,Unknown,Grass
Chihuahuan,Mesquite,Unkgrass,Unkgrass.Mesquite,"Unknown grass, Mesquite",Native,Unknown,Grass
Chihuahuan,Creosote,Unksalsola,Unksalsola.Creosote,"Unknown forb; A very small (tiny really) forb germinant that has linear leaves like a small Salsola would. Unlikely to be salsola but best way to distinguish it from other unks., Creosote",Unknown,Unknown,Forb
Chihuahuan,Creosote,Unksporo,Unksporo.Creosote,"Unknown grass; Sporobolus and Eragrostis, Creosote",Unknown,Unknown,Grass
Chihuahuan,Mesquite,Unksporo,Unksporo.Mesquite,"Unknown grass; Sporobolus and Eragrostis, Mesquite",Unknown,Unknown,Grass
