Code,Name,Native,Duration,Lifeform,CodeOriginal
LUSP,Lupinus sparsiflorus (?),Native,Annual,Forb,LUSP
LUSP2,Lupinus sparsiflorus,Native,Annual,Forb,LUSP2
MADI6,Matricaria discoidea,Introduced,Annual,Forb,MADI6
MAGL3,Malacothrix glabrata,Native,Annual,Forb,MAGL3
MAGR10,Machaeranthera gracilis,Native,Annual,Forb,MAGR10
MAPA5,Malva parviflora,Introduced,Unknown,Forb,MAPA5
MATA2,Machaeranthera tanacetifolia,Native,Annual,Forb,MATA2
MEAL6,Mentzelia albicaulis,Native,Annual,Forb,MEAL6
MEIN2,Melilotus indicus,Introduced,Annual,Forb,MEIN2
MEMO4,Mentzelia montana,Native,Annual,Forb,MEMO4
MEOF,Melilotus officinalis,Introduced,Unknown,Forb,MEOF
MIGR,Microsteris gracilis,Native,Annual,Forb,MIGR
MILA6,Mirabilis laevis,Native,Perennial,Forb,MILA6
MOCE,Mollugo cerviana,Introduced,Annual,Forb,MOCE
MONU,Monolepis nuttalliana,Native,Annual,Forb,MONU
MOVE,Mollugo verticillata,Native,Annual,Forb,MOVE
MUPO2,Muhlenbergia porteri,Native,Perennial,Grass,MUPO2
NAHI,Nama hispidum,Native,Annual,Forb,NAHI
ONPI,Oncosiphon piluliferum,Introduced,Annual,Forb,ONPI
PACA6,Panicum capillare,Native,Annual,Grass,PACA6
PAHI5,Panicum hirticaule,Native,Annual,Grass,PAHI5
PAHI7,Oplismenus hirtellus (Panicum hirtellum),Introduced,Perennial,Grass,PAHI7
PAMI5,Parkinsonia microphylla,Native,Perennial,Shrub,PAMI5
PASM,Pascopyrum smithii,Native,Perennial,Grass,PASM
PECTO,Pectocarya,Native,Annual,Forb,PECTO
PEHE,Pectocarya heterocarpa,Native,Annual,Forb,PEHE
PEPA2,Pectis papposa,Native,Annual,Forb,PEPA2
PEPA8,Penstemon palmeri,Native,Perennial,Forb,PEPA8
PEPL,Pectocarya platycarpa,Native,Annual,Forb,PEPL
PERE,Pectocarya recurvata,Native,Annual,Forb,PERE
PHDI,Phacelia distans,Native,Unknown,Forb,PHDI
PHLO2,Phlox longifolia,Native,Perennial,Forb,PHLO2
PHNE3,Phacelia neomexicana,Native,Annual,Forb,PHNE3
PHYSA,Physalis,Unknown,Unknown,Forb,PHYSA
PLANT,Plantago,Unknown,Unknown,Forb,PLANT
PLAR,Plagiobothrys arizonicus,Native,Annual,Forb,PLAR
PLJA,Pleuraphis jamesii,Native,Perennial,Grass,PLJA
PLMU3,Pleuraphis mutica,Native,Perennial,Grass,PLMU3
PLOV,Plantago ovata,Native,Annual,Forb,PLOV
PLPA2,Plantago patagonica,Native,Annual,Forb,PLPA2
PLPR3,Plagiobothrys pringlei,Native,Annual,Forb,PLPR3
POBI,Poa bigelovii,Native,Annual,Grass,POBI
POOL,Portulaca oleracea,Unknown,Annual,Forb,POOL
POPI3,Portulaca pilosa,Native,Unknown,Forb,POPI3
POSE,Poa secunda,Native,Perennial,Grass,POSE
POUM,Portulaca umbraticola,Native,Annual,Forb,POUM
PRGL2,Prosopis glandulosa,Native,Perennial,Shrub,PRGL2
PROACASPP,Mesquite/Acacia species,Native/Unknown,Perennial,Shrub,PROACASPP
PRVE,Prosopis velutina,Native,Perennial,Shrub,PRVE
PSCA11,Pseudognaphalium canescens,Native,Unknown,Forb,PSCA11
PSSP6,Pseudoroegneria spicata,Native,Perennial,Grass,PSSP6
SAAB,Sanvitalia abertii,Native,Annual,Forb,SAAB
SACO6,Salvia columbariae,Native,Annual,Forb,SACO6
SARE3,Salvia reflexa,Native,Annual,Forb,SARE3
SATR12,Salsola tragus,Introduced,Annual,Forb,SATR12
SCBA,Schismus barbatus,Introduced,Annual,Grass,SCBA
SCMU6,Schkuhria multiflora,Native,Annual,Forb,SCMU6
SCPI3,Schkuhria pinnata,Unknown,Annual,Forb,SCPI3
SEBA2,Senna bacillaris,Native,Perennial,Shrub,SEBA2
SEBA3,Senna bauhinioides,Native,Perennial,Forb,SEBA3
SECO10,Senna covesii,Native,Perennial,Forb,SECO10
SIAB,Sida abutifolia,Introduced,Unknown,Forb,SIAB
SIAL2,Sisymbrium altissimum,Introduced,Annual,Forb,SIAL2
SIAN2,Silene antirrhina,Native,Annual,Forb,SIAN2
SIIR,Sisymbrium irio,Introduced,Annual,Forb,SIIR
SINE,Sida neomexicana,Native,Perennial,Forb,SINE
SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,SOEL
SOOL,Sonchus oleraceus,Introduced,Annual,Forb,SOOL
SORO,Solanum rostratum,Native,Annual,Forb,SORO
SPAI,Sporobolus airoides,Native,Perennial,Grass,SPAI
SPAM2,Sphaeralcea ambigua,Native,Perennial,Forb,SPAM2
SPCO,Sphaeralcea coccinea,Native,Perennial,Forb,SPCO
SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,SPCR
SPEC2,Spermolepis echinata,Native,Annual,Forb,SPEC2
SPGR2,Sphaeralcea grossulariifolia,Native,Perennial,Forb,SPGR2
STGN,Stylocline gnaphalioides,Native,Annual,Forb,STGN
TAPO5,Talinum polygaloides,Native,Perennial,Forb,TAPO5
TILA2,Tidestromia lanuginosa,Native,Annual,Forb,TILA2
TOIN,Townsendia incana,Native,Unknown,Forb,TOIN
TRMU,Tridens muticus,Native,Perennial,Grass,TRMU
TRPI,Tradescantia pinetorum,Native,Perennial,Forb,TRPI
TRTE,Tribulus terrestris,Introduced,Annual,Forb,TRTE
Unk bunchGrass #1,Could be BOCU,Unknown,Unknown,Grass,Unk bunchGrass #1
URLI5,Microseris lindleyi,Native,Annual,Forb,URLI5
VEEN,Verbesina encelioides,Native,Annual,Forb,VEEN
VEPEX2,Veronica peregrina ssp. xalapensis,Native,Annual,Forb,VEPEX2
VUOC,Vulpia octoflora,Native,Annual,Grass,VUOC
YUEL,Yucca elata,Native,Perennial,Shrub,YUEL
ZIGR,Zinnia grandiflora,Native,Perennial,Forb,ZIGR
